shot_list,tvad_name
"[(1, 12), (13, 31), (32, 37), (38, 42), (43, 60), (61, 63), (64, 81), (82, 87), (88, 96), (97, 98), (99, 127), (128, 143), (144, 151), (152, 160), (161, 165), (166, 173), (174, 180), (181, 186), (187, 202), (203, 206), (207, 212), (213, 216), (217, 239), (240, 251), (252, 259), (260, 272), (273, 277), (278, 280), (281, 282), (283, 287)]",friends_s01e03_seg02_clip_20
"[(1, 62), (63, 73), (74, 106), (107, 132), (133, 140), (141, 151), (152, 154), (155, 161), (162, 170), (171, 179)]",friends_s01e04_seg02_clip_02
"[(1, 2), (3, 42), (43, 48), (49, 55), (56, 73), (74, 78), (79, 87), (88, 92), (93, 105), (106, 114), (115, 139), (140, 145), (146, 169), (170, 173), (174, 176)]",friends_s01e04_seg02_clip_03
"[(1, 3), (4, 11), (12, 18), (19, 26), (27, 46), (47, 59), (60, 71), (72, 102), (103, 121), (122, 125), (126, 129), (130, 143), (144, 146), (147, 154), (155, 162), (163, 180), (181, 182)]",friends_s01e04_seg02_clip_05
"[(1, 14), (15, 32), (33, 47), (48, 56), (57, 80), (81, 89), (90, 102), (103, 107), (108, 119), (120, 149), (150, 154), (155, 182), (183, 185)]",friends_s01e04_seg02_clip_07
"[(1, 13), (14, 28), (29, 35), (36, 40), (41, 52), (53, 60), (61, 66), (67, 71), (72, 75), (76, 139), (140, 163), (164, 188), (189, 192), (193, 206)]",friends_s01e04_seg02_clip_08
"[(1, 10), (11, 24), (25, 30), (31, 34), (35, 43), (44, 64), (65, 70), (71, 74), (75, 90), (91, 93), (94, 95), (96, 104), (105, 147), (148, 169), (170, 182)]",friends_s01e04_seg02_clip_12
"[(1, 13), (14, 20), (21, 26), (27, 37), (38, 49), (50, 58), (59, 65), (66, 69), (70, 75), (76, 85), (86, 89), (90, 96), (97, 107), (108, 109), (110, 161), (162, 175), (176, 209)]",friends_s01e04_seg02_clip_14
"[(1, 3), (4, 17), (18, 40), (41, 47), (48, 72), (73, 77), (78, 87), (88, 94), (95, 97), (98, 111), (112, 118), (119, 124), (125, 128), (129, 132), (133, 141), (142, 150), (151, 167), (168, 173)]",friends_s01e04_seg02_clip_19
"[(1, 2), (3, 15), (16, 25), (26, 41), (42, 70), (71, 76), (77, 97), (98, 106), (107, 131), (132, 147), (148, 150), (151, 176), (177, 179), (180, 181), (182, 191)]",friends_s01e04_seg02_clip_21
"[(1, 12), (13, 17), (18, 36), (37, 40), (41, 50), (51, 62), (63, 66), (67, 75), (76, 79), (80, 86), (87, 97), (98, 110), (111, 129), (130, 139), (140, 148), (149, 166), (167, 172), (173, 179)]",friends_s01e05_seg02_clip_01
"[(1, 16), (17, 20), (21, 26), (27, 33), (34, 44), (45, 54), (55, 76), (77, 101), (102, 112), (113, 138), (139, 143), (144, 152), (153, 185)]",friends_s01e05_seg02_clip_02
"[(1, 17), (18, 46), (47, 63), (64, 68), (69, 81), (82, 86), (87, 88), (89, 91), (92, 109), (110, 126), (127, 132), (133, 167), (168, 176)]",friends_s01e05_seg02_clip_04
"[(1, 2), (3, 16), (17, 24), (25, 27), (28, 33), (34, 43), (44, 47), (48, 55), (56, 61), (62, 85), (86, 121), (122, 124), (125, 131), (132, 140), (141, 167), (168, 170)]",friends_s01e05_seg02_clip_07
"[(1, 7), (8, 10), (11, 26), (27, 43), (44, 52), (53, 62), (63, 65), (66, 73), (74, 95), (96, 109), (110, 117), (118, 134), (135, 167), (168, 176)]",friends_s01e05_seg02_clip_08
"[(1, 10), (11, 20), (21, 30), (31, 44), (45, 74), (75, 86), (87, 106), (107, 113), (114, 126), (127, 149), (150, 162), (163, 182)]",friends_s01e05_seg02_clip_10
"[(1, 2), (3, 50), (51, 56), (57, 61), (62, 86), (87, 91), (92, 99), (100, 130), (131, 150), (151, 160), (161, 163), (164, 176), (177, 179)]",friends_s01e05_seg02_clip_11
"[(1, 12), (13, 16), (17, 25), (26, 62), (63, 81), (82, 101), (102, 119), (120, 126), (127, 134), (135, 139), (140, 145), (146, 149), (150, 162), (163, 168), (169, 185)]",friends_s01e05_seg02_clip_12
"[(1, 12), (13, 18), (19, 26), (27, 34), (35, 47), (48, 62), (63, 72), (73, 82), (83, 85), (86, 87), (88, 105), (106, 122), (123, 132), (133, 136), (137, 139), (140, 144), (145, 153), (154, 161), (162, 186), (187, 188)]",friends_s01e05_seg02_clip_14
"[(1, 19), (20, 24), (25, 53), (54, 74), (75, 78), (79, 90), (91, 98), (99, 105), (106, 108), (109, 119), (120, 138), (139, 146), (147, 172), (173, 182)]",friends_s01e05_seg02_clip_18
"[(1, 2), (3, 14), (15, 30), (31, 38), (39, 55), (56, 73), (74, 95), (96, 101), (102, 120), (121, 127), (128, 133), (134, 141), (142, 148), (149, 163), (164, 167), (168, 171), (172, 182)]",friends_s01e05_seg02_clip_19
"[(1, 14), (15, 20), (21, 30), (31, 61), (62, 73), (74, 79), (80, 88), (89, 115), (116, 122), (123, 124), (125, 128), (129, 154), (155, 162), (163, 165), (166, 188)]",friends_s01e05_seg02_clip_20
"[(1, 5), (6, 17), (18, 19), (20, 25), (26, 31), (32, 37), (38, 60), (61, 65), (66, 70), (71, 85), (86, 95), (96, 101), (102, 115), (116, 122), (123, 137), (138, 146), (147, 161), (162, 172), (173, 197)]",friends_s01e06_seg02_clip_00
"[(1, 7), (8, 17), (18, 22), (23, 32), (33, 37), (38, 44), (45, 49), (50, 59), (60, 69), (70, 80), (81, 117), (118, 142), (143, 145), (146, 176)]",friends_s01e06_seg02_clip_05
"[(1, 9), (10, 46), (47, 56), (57, 62), (63, 74), (75, 85), (86, 92), (93, 96), (97, 103), (104, 105), (106, 117), (118, 134), (135, 142), (143, 151), (152, 156), (157, 170)]",friends_s01e06_seg02_clip_09
"[(1, 4), (5, 9), (10, 14), (15, 35), (36, 50), (51, 57), (58, 65), (66, 69), (70, 76), (77, 91), (92, 98), (99, 101), (102, 106), (107, 116), (117, 123), (124, 128), (129, 153), (154, 157), (158, 168), (169, 172), (173, 185)]",friends_s01e06_seg02_clip_11
"[(1, 4), (5, 53), (54, 63), (64, 87), (88, 130), (131, 144), (145, 165), (166, 169), (170, 182)]",friends_s01e06_seg02_clip_14
"[(1, 28), (29, 42), (43, 50), (51, 65), (66, 112), (113, 134), (135, 153), (154, 168), (169, 179)]",friends_s01e06_seg02_clip_18
"[(1, 15), (16, 21), (22, 46), (47, 52), (53, 56), (57, 104), (105, 107), (108, 113), (114, 124), (125, 136), (137, 149), (150, 160), (161, 162), (163, 174), (175, 185)]",friends_s01e06_seg02_clip_20
"[(1, 2), (3, 10), (11, 17), (18, 25), (26, 27), (28, 30), (31, 44), (45, 51), (52, 65), (66, 88), (89, 108), (109, 113), (114, 119), (120, 124), (125, 129), (130, 140), (141, 145), (146, 153), (154, 160), (161, 172), (173, 185)]",friends_s01e07_seg02_clip_00
"[(1, 16), (17, 29), (30, 49), (50, 61), (62, 84), (85, 93), (94, 96), (97, 109), (110, 144), (145, 153), (154, 159), (160, 163), (164, 184), (185, 188)]",friends_s01e07_seg02_clip_01
"[(1, 9), (10, 28), (29, 32), (33, 44), (45, 51), (52, 78), (79, 90), (91, 98), (99, 100), (101, 104), (105, 108), (109, 113), (114, 139), (140, 144), (145, 168), (169, 171), (172, 176)]",friends_s01e07_seg02_clip_03
"[(1, 2), (3, 16), (17, 28), (29, 41), (42, 44), (45, 69), (70, 78), (79, 90), (91, 101), (102, 127), (128, 132), (133, 142), (143, 149), (150, 154), (155, 165), (166, 173), (174, 180), (181, 182)]",friends_s01e07_seg02_clip_09
"[(1, 33), (34, 41), (42, 54), (55, 78), (79, 83), (84, 103), (104, 112), (113, 115), (116, 119), (120, 133), (134, 176), (177, 179)]",friends_s01e07_seg02_clip_10
"[(1, 4), (5, 11), (12, 20), (21, 27), (28, 31), (32, 58), (59, 69), (70, 74), (75, 77), (78, 81), (82, 100), (101, 111), (112, 122), (123, 128), (129, 145), (146, 153), (154, 162), (163, 171), (172, 178), (179, 185)]",friends_s01e07_seg02_clip_11
"[(1, 8), (9, 20), (21, 25), (26, 31), (32, 41), (42, 48), (49, 51), (52, 59), (60, 62), (63, 106), (107, 125), (126, 145), (146, 151), (152, 158), (159, 171), (172, 177), (178, 182)]",friends_s01e07_seg02_clip_14
"[(1, 2), (3, 8), (9, 13), (14, 32), (33, 51), (52, 57), (58, 71), (72, 82), (83, 88), (89, 102), (103, 110), (111, 123), (124, 139), (140, 156), (157, 161), (162, 175), (176, 179)]",friends_s01e07_seg02_clip_16
"[(1, 2), (3, 6), (7, 30), (31, 46), (47, 59), (60, 70), (71, 80), (81, 101), (102, 105), (106, 109), (110, 120), (121, 131), (132, 137), (138, 153), (154, 163), (164, 188)]",friends_s01e07_seg02_clip_17
"[(1, 21), (22, 39), (40, 46), (47, 54), (55, 57), (58, 64), (65, 84), (85, 89), (90, 94), (95, 98), (99, 101), (102, 109), (110, 130), (131, 135), (136, 140), (141, 172), (173, 174), (175, 176)]",friends_s01e07_seg02_clip_19
"[(1, 2), (3, 21), (22, 29), (30, 38), (39, 43), (44, 61), (62, 67), (68, 82), (83, 106), (107, 108), (109, 115), (116, 122), (123, 127), (128, 135), (136, 138), (139, 141), (142, 144), (145, 148), (149, 151), (152, 170), (171, 176), (177, 182), (183, 186), (187, 194), (195, 197)]",friends_s01e08_seg02_clip_00
"[(1, 24), (25, 50), (51, 74), (75, 76), (77, 95), (96, 122), (123, 129), (130, 139), (140, 156), (157, 165), (166, 170)]",friends_s01e08_seg02_clip_02
"[(1, 8), (9, 12), (13, 26), (27, 38), (39, 66), (67, 72), (73, 77), (78, 84), (85, 95), (96, 102), (103, 108), (109, 119), (120, 126), (127, 133), (134, 151), (152, 156), (157, 160), (161, 162), (163, 168), (169, 174), (175, 178), (179, 185)]",friends_s01e08_seg02_clip_05
"[(1, 2), (3, 12), (13, 19), (20, 38), (39, 97), (98, 103), (104, 119), (120, 124), (125, 137), (138, 163), (164, 179)]",friends_s01e08_seg02_clip_06
"[(1, 4), (5, 16), (17, 27), (28, 40), (41, 46), (47, 54), (55, 88), (89, 100), (101, 109), (110, 129), (130, 136), (137, 140), (141, 145), (146, 158), (159, 172), (173, 176)]",friends_s01e08_seg02_clip_09
"[(1, 15), (16, 23), (24, 37), (38, 47), (48, 56), (57, 74), (75, 78), (79, 95), (96, 102), (103, 109), (110, 122), (123, 131), (132, 158), (159, 165), (166, 172), (173, 176), (177, 180), (181, 182)]",friends_s01e08_seg02_clip_10
"[(1, 9), (10, 27), (28, 44), (45, 49), (50, 86), (87, 92), (93, 111), (112, 117), (118, 134), (135, 139), (140, 144), (145, 155), (156, 172), (173, 178), (179, 189), (190, 191)]",friends_s01e08_seg02_clip_12
"[(1, 2), (3, 10), (11, 16), (17, 24), (25, 38), (39, 48), (49, 52), (53, 56), (57, 60), (61, 67), (68, 70), (71, 80), (81, 124), (125, 135), (136, 148), (149, 160), (161, 171), (172, 179)]",friends_s01e08_seg02_clip_13
"[(1, 5), (6, 16), (17, 28), (29, 60), (61, 65), (66, 88), (89, 98), (99, 106), (107, 137), (138, 142), (143, 149), (150, 154), (155, 157), (158, 170), (171, 192), (193, 197)]",friends_s01e08_seg02_clip_14
"[(1, 2), (3, 10), (11, 15), (16, 54), (55, 65), (66, 78), (79, 87), (88, 101), (102, 105), (106, 117), (118, 147), (148, 158), (159, 168), (169, 180), (181, 188)]",friends_s01e08_seg02_clip_16
"[(1, 21), (22, 29), (30, 35), (36, 38), (39, 42), (43, 69), (70, 93), (94, 98), (99, 101), (102, 110), (111, 114), (115, 123), (124, 132), (133, 144), (145, 159), (160, 165), (166, 171), (172, 175), (176, 178), (179, 193), (194, 197)]",friends_s01e09_seg02_clip_00
"[(1, 8), (9, 33), (34, 38), (39, 60), (61, 81), (82, 88), (89, 92), (93, 101), (102, 119), (120, 142), (143, 168), (169, 178), (179, 185), (186, 194)]",friends_s01e09_seg02_clip_02
"[(1, 2), (3, 14), (15, 16), (17, 23), (24, 49), (50, 59), (60, 63), (64, 72), (73, 79), (80, 172), (173, 179)]",friends_s01e09_seg02_clip_05
"[(1, 28), (29, 34), (35, 42), (43, 46), (47, 54), (55, 67), (68, 80), (81, 92), (93, 97), (98, 129), (130, 134), (135, 148), (149, 155), (156, 163), (164, 173), (174, 182)]",friends_s01e09_seg02_clip_06
"[(1, 6), (7, 26), (27, 38), (39, 49), (50, 51), (52, 58), (59, 84), (85, 98), (99, 110), (111, 133), (134, 157), (158, 175), (176, 185)]",friends_s01e09_seg02_clip_10
"[(1, 13), (14, 21), (22, 34), (35, 38), (39, 43), (44, 77), (78, 80), (81, 102), (103, 116), (117, 132), (133, 148), (149, 153), (154, 166), (167, 176)]",friends_s01e09_seg02_clip_11
"[(1, 18), (19, 63), (64, 84), (85, 128), (129, 130), (131, 139), (140, 154), (155, 179), (180, 182)]",friends_s01e09_seg02_clip_15
"[(1, 3), (4, 9), (10, 14), (15, 24), (25, 28), (29, 32), (33, 37), (38, 45), (46, 57), (58, 64), (65, 75), (76, 83), (84, 89), (90, 93), (94, 114), (115, 119), (120, 122), (123, 126), (127, 129), (130, 144), (145, 155), (156, 166), (167, 170)]",friends_s01e09_seg02_clip_19
"[(1, 10), (11, 17), (18, 32), (33, 36), (37, 45), (46, 70), (71, 81), (82, 106), (107, 113), (114, 129), (130, 136), (137, 140), (141, 152), (153, 184), (185, 188)]",friends_s01e10_seg02_clip_00
"[(1, 15), (16, 29), (30, 33), (34, 52), (53, 55), (56, 93), (94, 98), (99, 116), (117, 120), (121, 135), (136, 141), (142, 150), (151, 198), (199, 200)]",friends_s01e10_seg02_clip_03
"[(1, 15), (16, 33), (34, 42), (43, 46), (47, 69), (70, 82), (83, 86), (87, 98), (99, 101), (102, 112), (113, 117), (118, 126), (127, 139), (140, 142), (143, 168), (169, 176)]",friends_s01e10_seg02_clip_04
"[(1, 13), (14, 23), (24, 30), (31, 34), (35, 37), (38, 43), (44, 45), (46, 56), (57, 64), (65, 74), (75, 79), (80, 82), (83, 88), (89, 114), (115, 121), (122, 137), (138, 143), (144, 151), (152, 159), (160, 164), (165, 176)]",friends_s01e10_seg02_clip_05
"[(1, 2), (3, 15), (16, 19), (20, 34), (35, 45), (46, 64), (65, 73), (74, 83), (84, 108), (109, 111), (112, 120), (121, 140), (141, 148), (149, 165), (166, 174), (175, 176)]",friends_s01e10_seg02_clip_06
"[(1, 2), (3, 9), (10, 14), (15, 17), (18, 42), (43, 48), (49, 53), (54, 79), (80, 84), (85, 96), (97, 103), (104, 117), (118, 123), (124, 128), (129, 141), (142, 144), (145, 154), (155, 159), (160, 171), (172, 182)]",friends_s01e10_seg02_clip_07
"[(1, 4), (5, 6), (7, 44), (45, 49), (50, 54), (55, 70), (71, 75), (76, 83), (84, 124), (125, 145), (146, 154), (155, 160), (161, 162), (163, 177), (178, 182)]",friends_s01e10_seg02_clip_08
"[(1, 2), (3, 39), (40, 42), (43, 53), (54, 55), (56, 57), (58, 58), (59, 60), (61, 62), (63, 72), (73, 76), (77, 87), (88, 91), (92, 105), (106, 116), (117, 130), (131, 133), (134, 138), (139, 142), (143, 147), (148, 155), (156, 172), (173, 182), (183, 185)]",friends_s01e10_seg02_clip_09
"[(1, 2), (3, 13), (14, 16), (17, 21), (22, 31), (32, 39), (40, 47), (48, 53), (54, 58), (59, 63), (64, 69), (70, 89), (90, 97), (98, 109), (110, 113), (114, 119), (120, 128), (129, 138), (139, 144), (145, 156), (157, 162), (163, 165), (166, 171), (172, 173), (174, 176), (177, 181), (182, 183), (184, 188), (189, 191)]",friends_s01e10_seg02_clip_10
"[(1, 2), (3, 14), (15, 40), (41, 55), (56, 68), (69, 75), (76, 78), (79, 82), (83, 87), (88, 92), (93, 106), (107, 116), (117, 126), (127, 128), (129, 147), (148, 165), (166, 169), (170, 173), (174, 182)]",friends_s01e10_seg02_clip_16
"[(1, 5), (6, 19), (20, 23), (24, 48), (49, 67), (68, 75), (76, 81), (82, 90), (91, 126), (127, 134), (135, 148), (149, 164), (165, 175), (176, 182)]",friends_s01e10_seg02_clip_21
"[(1, 12), (13, 17), (18, 23), (24, 55), (56, 74), (75, 87), (88, 93), (94, 97), (98, 103), (104, 109), (110, 116), (117, 122), (123, 130), (131, 145), (146, 152), (153, 167), (168, 172), (173, 182)]",friends_s01e11_seg02_clip_01
"[(1, 2), (3, 9), (10, 55), (56, 64), (65, 71), (72, 76), (77, 90), (91, 119), (120, 142), (143, 158), (159, 161)]",friends_s01e11_seg02_clip_04
"[(1, 5), (6, 87), (88, 98), (99, 104), (105, 111), (112, 128), (129, 136), (137, 159), (160, 166), (167, 176)]",friends_s01e11_seg02_clip_07
"[(1, 20), (21, 32), (33, 50), (51, 59), (60, 79), (80, 85), (86, 104), (105, 114), (115, 121), (122, 128), (129, 151), (152, 157), (158, 174), (175, 183), (184, 196), (197, 203)]",friends_s01e11_seg02_clip_08
"[(1, 7), (8, 10), (11, 26), (27, 49), (50, 53), (54, 64), (65, 69), (70, 78), (79, 88), (89, 101), (102, 104), (105, 112), (113, 130), (131, 141), (142, 151), (152, 157), (158, 170), (171, 182), (183, 194)]",friends_s01e11_seg02_clip_10
"[(1, 11), (12, 16), (17, 20), (21, 26), (27, 47), (48, 54), (55, 58), (59, 63), (64, 74), (75, 81), (82, 111), (112, 118), (119, 129), (130, 137), (138, 143), (144, 163), (164, 170)]",friends_s01e11_seg02_clip_11
"[(1, 61), (62, 68), (69, 72), (73, 78), (79, 82), (83, 87), (88, 98), (99, 108), (109, 139), (140, 152), (153, 165), (166, 173), (174, 179), (180, 182)]",friends_s01e11_seg02_clip_14
"[(1, 31), (32, 42), (43, 51), (52, 54), (55, 65), (66, 76), (77, 98), (99, 104), (105, 114), (115, 134), (135, 142), (143, 145), (146, 148), (149, 172), (173, 188), (189, 191)]",friends_s01e11_seg02_clip_16
"[(1, 8), (9, 12), (13, 20), (21, 27), (28, 41), (42, 64), (65, 79), (80, 81), (82, 83), (84, 92), (93, 100), (101, 151), (152, 165), (166, 178), (179, 184), (185, 188)]",friends_s01e11_seg02_clip_20
"[(1, 2), (3, 27), (28, 47), (48, 57), (58, 79), (80, 83), (84, 98), (99, 103), (104, 115), (116, 120), (121, 160), (161, 170), (171, 188)]",friends_s01e12_seg02_clip_00
"[(1, 66), (67, 68), (69, 94), (95, 96), (97, 99), (100, 114), (115, 123), (124, 132), (133, 167), (168, 179)]",friends_s01e12_seg02_clip_04
"[(1, 13), (14, 19), (20, 40), (41, 45), (46, 62), (63, 71), (72, 78), (79, 84), (85, 108), (109, 111), (112, 126), (127, 130), (131, 166), (167, 181), (182, 191)]",friends_s01e12_seg02_clip_05
"[(1, 15), (16, 20), (21, 41), (42, 48), (49, 68), (69, 79), (80, 88), (89, 92), (93, 101), (102, 106), (107, 112), (113, 134), (135, 144), (145, 155), (156, 168), (169, 176)]",friends_s01e12_seg02_clip_07
"[(1, 14), (15, 19), (20, 26), (27, 30), (31, 39), (40, 55), (56, 62), (63, 65), (66, 75), (76, 91), (92, 93), (94, 102), (103, 105), (106, 108), (109, 125), (126, 134), (135, 156), (157, 159), (160, 167), (168, 182)]",friends_s01e12_seg02_clip_08
"[(1, 5), (6, 17), (18, 22), (23, 27), (28, 32), (33, 35), (36, 47), (48, 58), (59, 73), (74, 89), (90, 98), (99, 103), (104, 113), (114, 152), (153, 161), (162, 176)]",friends_s01e12_seg02_clip_10
"[(1, 30), (31, 37), (38, 44), (45, 55), (56, 63), (64, 82), (83, 103), (104, 112), (113, 117), (118, 124), (125, 128), (129, 135), (136, 148), (149, 159), (160, 173)]",friends_s01e12_seg02_clip_11
"[(1, 2), (3, 6), (7, 17), (18, 29), (30, 44), (45, 48), (49, 67), (68, 74), (75, 85), (86, 90), (91, 108), (109, 125), (126, 129), (130, 145), (146, 148), (149, 155), (156, 168), (169, 191)]",friends_s01e12_seg02_clip_12
"[(1, 9), (10, 14), (15, 21), (22, 26), (27, 34), (35, 50), (51, 52), (53, 71), (72, 81), (82, 90), (91, 99), (100, 117), (118, 144), (145, 147), (148, 172), (173, 176)]",friends_s01e12_seg02_clip_13
"[(1, 35), (36, 39), (40, 67), (68, 79), (80, 83), (84, 132), (133, 155), (156, 163), (164, 177), (178, 179), (180, 182)]",friends_s01e12_seg02_clip_15
"[(1, 4), (5, 10), (11, 14), (15, 32), (33, 45), (46, 50), (51, 63), (64, 70), (71, 88), (89, 94), (95, 103), (104, 107), (108, 114), (115, 142), (143, 156), (157, 165), (166, 172), (173, 176), (177, 182)]",friends_s01e12_seg02_clip_16
"[(1, 5), (6, 13), (14, 21), (22, 32), (33, 37), (38, 40), (41, 85), (86, 111), (112, 185)]",friends_s01e12_seg02_clip_17
"[(1, 2), (3, 8), (9, 11), (12, 17), (18, 22), (23, 38), (39, 42), (43, 81), (82, 86), (87, 93), (94, 98), (99, 123), (124, 128), (129, 131), (132, 146), (147, 170), (171, 178), (179, 188)]",friends_s01e13_seg02_clip_00
"[(1, 2), (3, 37), (38, 48), (49, 64), (65, 88), (89, 119), (120, 130), (131, 137), (138, 142), (143, 150), (151, 154), (155, 160), (161, 191)]",friends_s01e13_seg02_clip_03
"[(1, 11), (12, 21), (22, 30), (31, 35), (36, 43), (44, 50), (51, 70), (71, 83), (84, 87), (88, 119), (120, 128), (129, 137), (138, 150), (151, 164)]",friends_s01e13_seg02_clip_06
"[(1, 2), (3, 6), (7, 15), (16, 28), (29, 42), (43, 58), (59, 80), (81, 103), (104, 111), (112, 119), (120, 130), (131, 148), (149, 156), (157, 170)]",friends_s01e13_seg02_clip_07
"[(1, 23), (24, 48), (49, 65), (66, 76), (77, 81), (82, 105), (106, 112), (113, 118), (119, 140), (141, 145), (146, 149), (150, 173), (174, 182)]",friends_s01e13_seg02_clip_08
"[(1, 30), (31, 40), (41, 49), (50, 56), (57, 73), (74, 78), (79, 85), (86, 91), (92, 103), (104, 116), (117, 137), (138, 153), (154, 164), (165, 186), (187, 188)]",friends_s01e13_seg02_clip_09
"[(1, 3), (4, 10), (11, 20), (21, 29), (30, 33), (34, 61), (62, 86), (87, 111), (112, 136), (137, 174), (175, 183), (184, 185)]",friends_s01e13_seg02_clip_12
"[(1, 3), (4, 6), (7, 19), (20, 21), (22, 33), (34, 38), (39, 44), (45, 75), (76, 98), (99, 133), (134, 143), (144, 148), (149, 155), (156, 159), (160, 171), (172, 175), (176, 184), (185, 201), (202, 209)]",friends_s01e13_seg02_clip_14
