anno_idx,end,imdbid,start,text_gen,text_gt
13,415.038,tt0583647,412.937,"['Monica opens the door and enters the room.', 'Ross stands in the doorway as Monica walks in.', 'Monica looks at Ross as she enters the room.', 'Monica enters the room, and Ross looks at her.', 'Ross stands in the doorway as Monica walks in.']",Monica opens up for a slumped Ross.
14,425.572,tt0583647,423.731,"['Joey wears a tie and talks to Phoebe.', 'Chandler and Monica chat, both wearing shirts.', 'Ross and Phoebe converse, both wearing shirts.', 'Monica and Ross discuss, both wearing shirts.', 'Phoebe and Joey chat, Joey wearing a tie.']",Phoebe holds up the sauce-covered ring.
15,543.309,tt0583647,541.487,"['Monica holds a knife and looks at Judy.', 'Judy claps her hands and holds a pillow.', 'Monica and Judy have a face-to-face conversation.', 'Monica and Judy engage in a calm interaction.', 'Judy claps her hands, while Monica holds a knife.']",Mrs. Geller fluffs a throw pillow.
16,553.852,tt0583647,551.91,"['Judy holds a glass, walking towards Monica.', 'Monica talks as Ross approaches her.', 'Ross walks towards Monica, glass nearby.', 'Judy talks, holding a glass, as Ross walks.', 'Ross walks towards Monica, Judy nearby with a glass.']",Monica rolls her eyes to Ross.
17,771.397,tt0583647,768.997,"['Ross sits next to Rachel on the couch.', 'Ross walks towards Rachel and sits down beside her.', 'Ross joins Rachel on the couch, sitting next to her.', 'Rachel sits on the couch as Ross sits down beside her.', 'Ross walks over and sits beside Rachel on the couch.']","She hands him the broom, then plops on the couch."
18,840.22,tt0583647,837.68,"[""Ross places his hand on Rachel's shoulder."", 'Rachel sits on the couch as Ross stands behind her.', 'Ross stands behind Rachel, hand on her shoulder.', ""Ross reaches out to touch Rachel's shoulder."", ""Ross places his hand on Rachel's shoulder, standing behind her.""]","He stands behind the couch, gazing down at her."
19,854.543,tt0583647,850.503,"[""Ross puts his hand on Rachel's shoulder, then walks away."", 'Rachel looks up at Ross as he touches her shoulder, then he departs.', ""Ross places his hand on Rachel's shoulder, and she glances up at him before he leaves."", ""Ross gently touches Rachel's shoulder, and she looks up at him before he walks away."", 'Rachel looks up at Ross as he puts his hand on her shoulder, then he walks off.']","She leans her head back on the couch, then gently rests it against his hand."
20,864.629,tt0583647,860.687,"['Ross stands up, looking at Rachel, who sits on the couch.', 'Ross adjusts his hand, gazing at Rachel on the couch.', 'Ross stands, focusing on Rachel as she sits on the couch.', 'Ross adjusts something, his eyes on Rachel, who sits on the couch.', 'Ross stands up, his attention fixed on Rachel, who sits on the couch.']","He awkwardly pulls over a stool without moving his hand, then sits."
21,869.412,tt0583647,865.97,"['Ross walks into the room and points at Rachel.', 'Rachel looks at Ross as he enters the room.', 'Ross enters the room and gestures towards Rachel.', 'Rachel is addressed by Ross, who points at her.', 'Ross walks in and points at Rachel, who looks at him.']","At a doctor's office, a plastic model shows a baby in a womb."
22,872.814,tt0583647,870.253,"['Rachel sits on a hospital bed as Ross enters the room.', 'Ross speaks to Rachel on a hospital bed.', 'Ross enters the hospital room where Rachel lies on a bed.', 'Rachel lies on a hospital bed as Ross approaches her.', 'Ross enters the room and stands beside Rachel on the bed.']",Carol sits on the exam table as Ross hurries in.
23,882.24,tt0583647,881.36,"['Ross looks at Susan.', 'Ross gazes at Susan.', 'Susan sits, Ross looks.', 'Ross focuses on Susan.', 'Ross eyes Susan intently.']",Susan steps in.
24,912.609,tt0583647,911.209,"['Ross talks to Susan and Carol.', 'Susan listens to Ross and Carol.', 'Ross stands with Susan and Carol.', 'Carol sits in a chair.', 'Ross is wearing a brown vest.']",Susan hands him a juice box.
25,915.31,tt0583647,914.289,"['Ross hands Susan a cup.', 'Susan hands Carol a cup.', 'Ross walks to Carol.', 'Carol drinks from a cup.', 'Susan and Ross approach Carol.']",He passes it to Carol.
26,919.174,tt0583647,917.333,"['Susan sits, Ross approaches the patient.', 'Ross walks to the patient, holding water.', 'Susan stands, arms crossed, as Ross talks.', 'Ross walks towards the patient, patient stands.', 'Susan sits, Ross approaches patient with water.']",She sips it as Susan takes a seat.
27,926.476,tt0583647,924.555,"[""Ross examines Susan's vagina with a speculum."", 'Susan sits on the examination table, looking at the speculum.', ""Ross takes the speculum and examines Susan's vagina."", 'Susan sits on the examination table, watched by Ross and Carol.', ""Ross picks up a speculum and examines Susan's vagina.""]",He picks up a speculum and smiles.
28,928.237,tt0583647,926.976,"['Ross holds water and pills.', 'Carol drinks water from a glass.', 'Ross looks at Carol drinking.', 'Ross holds pills and water.', 'Ross gazes at Carol sipping.']",He holds it up like a puppet.
29,940.422,tt0583647,939.421,"['Ross holds a speculum.', 'Carol stands up and walks out.', 'Ross holds a speculum, Carol leaves.', 'Carol walks out with a cup.', 'Ross holds a speculum, Carol exits.']",He tosses it down.
30,944.643,tt0583647,940.982,"[""Ross puts a speculum in the patient's vagina and walks away as Carol enters the room."", ""Carol enters the room as Ross looks at her, holding a speculum in the patient's vagina."", ""Ross walks away with a speculum in the patient's vagina as Carol enters the room."", ""Ross puts a speculum in the patient's vagina and looks at Carol as she enters the room."", 'Carol enters the room as Ross, holding a speculum, looks at her and walks away.']",Now Rachel eases into a dentist's office as he works on a kid's teeth.
31,1168.384,tt0583647,1165.405,"[""Ross holds a pink object, listening to Susan's gestures."", 'Susan stands beside Ross, speaking and gesturing with her hands.', 'Ross sits, holding a pink object, as Susan talks and gestures.', 'Susan talks and gestures to Ross, who holds a pink object.', 'Ross listens to Susan, holding a pink object, as she speaks.']",The kid throws up his arms at the OBGYN.
32,1264.411,tt0583647,1262.712,"['Ross enters, looks at the ultrasound screen.', 'Susan and Carol examine the ultrasound screen together.', 'Ross and Susan gaze at the ultrasound image.', 'Susan and Carol study the ultrasound screen.', 'Ross looks at the ultrasound screen with Susan.']",He takes Susan and Carol's hands.
33,1274.187,tt0583647,1270.449,"['Ross explains the ultrasound image to Susan and Carol as they gaze at the screen.', 'Susan and Carol attentively listen to Ross as he discusses the ultrasound results.', 'Ross points out details on the ultrasound screen to Susan and Carol.', 'The trio studies the ultrasound image together, with Ross guiding their understanding.', ""Susan, Carol, and Ross examine the baby's ultrasound image on the screen.""]","Executive producers Kevin S. Bright, Marta Kaufman, and David Crane."
34,1280.045,tt0583647,1277.446,"['Wendy and Andy gaze at the ultrasound image together.', 'Andy and Wendy examine the ultrasound image on the screen.', ""Wendy and Andy study the baby's ultrasound image."", 'Andy and Wendy look at the ultrasound image of the baby.', ""Wendy and Andy watch the baby's ultrasound image on the screen.""]","At Monica's, Ross plays the sonogram for the group."
35,1285.663,tt0583647,1283.763,"['Ross points at the ultrasound image on TV.', 'Joey and Chandler watch the TV with Ross.', 'Ross gestures at the ultrasound image on the screen.', 'Joey and Chandler observe the ultrasound with Ross.', 'Ross shows Joey and Chandler the TV image.']",Chandler and Joey squint at the screen.
36,77.092,tt0583653,74.531,"['Joey holds a cup and looks at Monica.', 'Ross holds a cup and looks at Joey.', 'Joey and Monica look at each other.', 'Ross holds a cup and Joey holds a cup.', 'The scene features Joey, Monica, and Ross holding cups.']",They stare at him sympathetically.
37,166.055,tt0583653,164.294,"['Chandler sits on the couch smoking a cigarette.', 'Joey and Chandler sit on the couch together.', 'Chandler looks at Joey while smoking a cigarette.', 'Chandler puffs on his cigarette on the couch.', 'Joey and Chandler lounge on the couch together.']",Joey grabs a cigarette and lighter.
38,168.075,tt0583653,166.555,"['Joey holds a paper, Chandler sits.', 'Joey talks to Chandler on the floor.', 'Joey sits with a paper, Chandler listens.', 'Chandler sits, Joey holds a piece of paper.', 'Joey and Chandler sit together, discussing.']",The lighter flips out of his hand.
39,171.597,tt0583653,168.596,"['Chandler puts a cigarette in his mouth, then takes it out again.', 'Joey stands up, then sits back down, as Chandler holds a cigarette.', 'Chandler puts a cigarette in his mouth, while Joey gets up and sits back down.', 'Chandler holds a cigarette, as Joey stands up and then sits back down.', 'Joey stands up, and Chandler puts a cigarette in his mouth, then takes it out again.']","He clambers after it, then manages to light his cigarette."
40,229.978,tt0583653,228.696,"['Chandler speaks to Joey.', 'Joey walks away from Chandler.', 'Chandler talks to Joey.', 'Joey leaves Chandler behind.', 'Chandler chats with Joey briefly.']",He sinks with pleasure.
41,233.18,tt0583653,230.838,"['Chandler gestures with his hands as Joey looks on.', 'Joey stands still as Chandler talks with animated hands.', ""Chandler's serious expression contrasts with Joey's surprised look."", ""Joey's eyes are fixed on Chandler's gesturing hands."", 'Chandler talks and gestures while Joey watches intently.']","At the coffee shop, Monica sits with the guys."
42,245.131,tt0583653,242.869,"['Ross looks at Chandler and Joey as they chat.', 'Joey talks to Ross and Chandler nearby.', 'Chandler and Joey engage in conversation with Ross.', 'Ross, Chandler, and Joey have a conversation.', 'The trio talks and laughs together.']","Joey, Ross, and Chandler study their hands."
43,257.914,tt0583653,256.813,"['Rachel carries food to the couch.', 'Chandler sits on the couch with Ross.', 'Rachel hands food to Monica.', 'Joey sits on the floor, surrounded.', 'Rachel stands, holding a tray.']",Rachel carries a tray.
44,262.496,tt0583653,260.775,"['Rachel stands, holding a cup of coffee.', 'Ross and Joey sit on the couch, holding coffee.', 'Monica and Chandler sit together on the couch.', 'Phoebe and Joey sit together on the couch.', 'The friends gather on the couch, holding coffee cups.']",They pass saucers and cups to each other.
45,278.382,tt0583653,276.201,"['Monica hands a plate to Chandler, then to Joey.', 'Rachel hands a plate to Monica as Ross walks in.', 'Chandler hands a plate to Joey as Monica receives from Rachel.', 'Monica and Rachel exchange plates, while Ross enters the scene.', 'Joey receives a plate from Chandler as Ross walks in.']","She leaves, and they all exchange their drinks."
46,626.302,tt0583653,624.801,"['Chandler speaks to Rachel and Ross.', 'Rachel and Ross listen to Chandler.', 'Chandler stands in the living room.', 'Rachel and Ross stand near the coffee table.', 'The group gathers in the living room.']",Chandler runs in slow motion.
47,643.48,tt0583653,640.438,"['Joey sits on the couch, while Monica stands nearby.', 'Rachel sits on the couch, as Phoebe stands up nearby.', 'Monica and Phoebe stand up, while Joey and Rachel sit on the couch.', 'Phoebe stands up, while Monica stands nearby, with Joey and Rachel on the couch.', 'Joey and Rachel sit on the couch, as Monica and Phoebe stand up.']",The others sit and gaze off with dreamy expressions.
48,646.301,tt0583653,644.2,"['Monica sits at the bar, looking at paper.', 'Monica examines a piece of paper at the counter.', 'Monica looks at a piece of paper on the counter.', 'Monica is studying a paper at the bar.', 'Monica sits at the counter, reading a paper.']",Monica looks around at them and tilts her head.
49,652.819,tt0583653,649.277,"['Monica points at the menu, and Rachel looks at it behind her.', 'Rachel stands behind Monica, who is examining the menu.', 'Monica and Rachel study the menu at the bar counter.', 'Monica gestures at the menu, and Rachel glances at it.', 'Rachel looks at the menu alongside Monica, who is pointing at it.']",Monica reads at the coffee shop as the others arrive in softball gear.
50,655.819,tt0583653,654.699,"['Monica talks to the counter staff.', 'Ross and Joey approach Monica.', 'Monica looks at the counter staff.', 'Ross and Joey walk towards Monica.', 'Monica, Ross, and Joey stand together.']",They slump inside.
51,766.967,tt0583653,765.046,"['Lizzy and Phoebe look at each other.', 'Chandler stares at the clock on the wall.', 'Lizzy and Phoebe glance at each other.', ""Chandler checks the clock's time."", ""The friends focus on each other's faces.""]",A view travels up a high rise building.
52,770.749,tt0583653,767.707,"['Lizzy and Phoebe chat while Chandler sits at his desk.', 'Phoebe talks to Lizzy as Chandler stares at a computer screen.', 'Chandler looks at a computer screen while Lizzy and Phoebe converse.', 'Lizzy and Phoebe chat in the office with a fountain nearby.', 'Chandler sits at his desk, focused on the computer screen, as Lizzy and Phoebe talk.']","At Chandler's office, he works on a computer in his cubicle."
53,776.011,tt0583653,771.589,"['Chandler pulls out a drawer from his desk and stands up.', 'Chandler stands up and opens a drawer at his desk.', 'Chandler Bing stands up and pulls out a drawer from his desk.', 'Chandler Bing gets up and opens a drawer at his desk.', 'Chandler Bing stands up, then pulls out a drawer from his desk.']","He peers around to make sure no one's watching, then takes a cigarette from his desk drawer."
54,783.779,tt0583653,780.038,"['Chandler Bing pulls out a drawer from his desk.', 'Chandler Bing stands up and pulls out a drawer from his desk.', 'Chandler Bing stands up and opens a drawer from his desk.', 'Chandler Bing stands up, pulls out a drawer from his desk.', 'Chandler Bing stands up and pulls out a drawer from his desk, then looks at the computer screen.']","He takes a drag, then shuts the smoking cigarette back in the drawer."
55,787.16,tt0583653,784.599,"['Chandler opens a drawer and looks around.', 'Chandler sits at his desk, opening a drawer.', 'Chandler looks around his cluttered desk.', 'He opens a drawer and surveys the space.', 'Chandler opens the drawer, scanning the contents.']","From another drawer, he pulls out a handheld fan."
56,792.261,tt0583653,788.079,"['Chandler takes a drink from the bottle and puts it back in the drawer.', 'Chandler opens a drawer, takes out a bottle of water, and drinks from it.', 'Chandler opens a drawer, pulls out a bottle of water, and puts it back in.', 'Chandler takes out a bottle of water from the drawer and drinks from it.', 'Chandler retrieves a bottle of water from the drawer and returns it to its original place.']","He blows it while spraying air freshener, then replaces the fan and shuts the drawer."
57,795.301,tt0583653,792.941,"['Chandler takes a drink of water from the drawer.', 'Chandler opens and closes the drawer with the water bottle.', 'Chandler pulls out and puts back a bottle of water.', 'Chandler takes out and drinks from a bottle of water.', 'Chandler takes a drink of water and puts it back in the drawer.']","He uses breath spray, then returns to his work."
58,803.823,tt0583653,801.182,"['Chandler types on the computer and smokes a cigarette.', 'Chandler sits at his desk, typing and smoking.', 'Chandler looks at the computer screen as he types.', 'Chandler types on the keyboard and takes a drag on his cigarette.', 'Chandler sits at his desk, typing and staring at the screen.']","He glances at the desk drawer, then sneaks another puff."
59,812.545,tt0583653,807.621,"['Chandler picks up a lighter and a match, then puts the lighter down and picks up a phone.', 'Chandler lights a cigarette and looks at the phone.', 'Chandler lights a cigarette, puts the lighter down, and picks up the phone.', 'Chandler lights a cigarette and then holds the phone.', 'Chandler lights a cigarette, puts the lighter down, and examines the phone.']","He shuts the cigarette back in the drawer, gets the fan, and sprays the breath freshener into the air."
60,834.534,tt0583653,833.253,"['Phoebe looks at Lizzy.', 'Phoebe holds a pink cup.', 'Phoebe drinks from the cup.', 'Phoebe looks at Lizzy then drinks.', 'Phoebe drinks from a pink cup.']",Lizzie rolls her cart away.
61,840.353,tt0583653,839.252,"['Phoebe drinks from a cup.', 'Phoebe looks and holds a cup.', 'Phoebe sips from a pink cup.', 'Phoebe holds a pink cup.', 'Phoebe takes a sip from a cup.']",Later at the coffee shop.
62,861.517,tt0583653,860.275,"['Phoebe walks towards the table.', 'Chandler and Ross look at Phoebe.', 'Phoebe holds a pink can.', 'Phoebe approaches the table.', 'Chandler and Ross gaze at Phoebe.']",Chandler lights a cigarette.
63,891.34,tt0583653,890.218,"['Chandler gestures to Joey.', 'Ross listens to Chandler.', 'Joey nods at Chandler.', 'Chandler talks to Joey.', 'Chandler speaks to Ross.']",They sit and reflect.
64,914.681,tt0583653,912.839,"['Monica holds a cup, looking at Phoebe.', 'Phoebe listens to Monica, gazing at her.', 'Monica talks, holding a cup, and looks at Phoebe.', 'Phoebe focuses on Monica, who holds a cup.', 'Monica holds a cup, speaking to Phoebe.']",Phoebe releases a mouthful of hair.
65,954.549,tt0583653,951.727,"['Chandler stands up, joining the group at the counter.', 'Rachel sits at the table, participating in the conversation.', 'Joey joins the group, standing at the counter.', 'Phoebe stands at the counter, engaging with the others.', 'Monica and Paula stand together, discussing something with the group.']",Chandler smiles to himself and walks away smoking.
66,961.035,tt0583653,959.374,"['Joey sits on the couch.', 'Phoebe stands near the counter.', 'Monica talks to Paula.', 'Chandler sits with Monica.', 'Joey and Phoebe chat on the couch.']",In the kitchen at Monica's restaurant.
67,1031.842,tt0583653,1030.341,"['Chandler sits on the couch talking on the phone.', 'Chandler looks at the camera on the phone.', 'Chandler holds the phone in his hand.', 'Chandler sits on the couch holding the phone.', 'Chandler sits on the couch talking on the phone.']",She hands him a cordless phone.
68,1060.774,tt0583653,1058.552,"['Chandler hands a note to Rachel.', 'Rachel holds a note and talks.', 'Chandler passes a note to her.', 'He hands her a note.', 'Rachel receives a note from him.']",He smiles and hands the phone back to Rachel.
69,1062.996,tt0583653,1061.174,"['Rachel holds the phone, looking at Chandler.', 'Chandler sits, listening to Rachel on the phone.', 'Rachel talks on the phone, gazing at Chandler.', 'Chandler watches Rachel on the phone.', 'Rachel holds the phone, focused on Chandler.']",He puts the cigarette out on the counter.
70,1073.266,tt0583653,1070.043,"['Rachel puts down the phone, and Ross looks at her.', 'Ross turns to look at Rachel as she hangs up the phone.', 'Rachel ends her call, and Ross glances at the TV.', ""Ross's eyes shift from the TV to Rachel as she finishes her call."", ""Rachel hangs up the phone, and Ross's gaze follows her attention.""]",If only he were a woman.
71,1076.582,tt0583653,1074.94,"['Rachel holds a remote control, talking to Ross.', 'Ross looks at Rachel as she talks.', 'Ross listens to Rachel, gazing at her.', 'Rachel talks to Ross, holding a remote control.', 'Ross focuses on Rachel as she speaks.']","They look at each other, confused."
72,1274.957,tt0583653,1272.315,"['Monica looks at the man on the couch wearing a black top.', ""Monica's eyes are on the man on the couch."", 'Monica glances at the man on the couch.', ""Monica's attention is on the man on the couch."", 'Monica focuses on the man on the couch in a black top.']","Later, Monica and Dallin sit together on a couch."
73,1296.093,tt0583653,1292.47,"['Monica eats ice cream with relish.', 'Monica savors each bite of her ice cream.', 'Monica indulges in a sweet treat, ice cream.', 'Monica takes a lick of her ice cream.', 'Monica enjoys a cool, creamy ice cream.']","Executive Producers Kevin S. Bright, Marta Kaufman, and David Crane."
74,226.717,tt0583521,225.256,"['Joey holds a piece of paper.', 'Joey sits on the couch.', 'Chandler and Ross chat nearby.', 'Joey holds a paper in hand.', 'Joey talks on the couch.']",Chandler and Joey go after him.
75,267.987,tt0583521,266.166,"['Monica holds a yellow cup, talking to Chandler.', 'Chandler looks at Monica, holding a conversation.', 'Ross stands, watching Monica and Chandler.', 'Monica and Chandler engage in a discussion.', ""Ross observes Monica and Chandler's interaction.""]",Rachel sits down to open the envelope.
76,305.95,tt0583521,302.569,"['Joey and Chandler push the couch, while Phoebe and Monica sit on it.', 'Rachel talks to Monica as they sit on the couch.', 'Joey and Chandler push the couch, while Phoebe and Monica sit on it.', 'Monica and Rachel sit on the couch, while Joey and Chandler push it.', 'Phoebe and Monica sit on the couch, as Joey and Chandler push it.']",Rachel sulks off as they all dig out their wallets and pool their cash.
77,323.411,tt0583521,321.57,"['Ross, Joey, and Chandler converse together.', 'Joey talks to Ross and Chandler simultaneously.', 'Chandler chats with Ross and Joey nearby.', 'Ross, Joey, and Chandler engage in a group discussion.', 'The trio shares a conversation in a relaxed setting.']",The pregnant woman looks behind the counter.
78,381.315,tt0583521,380.435,"['Rachel speaks to Monica and Phoebe.', 'Monica and Phoebe look at Rachel.', 'Rachel talks to friends.', 'Monica and Phoebe gaze.', 'Rachel shares with friends.']",Rachel glares.
79,383.957,tt0583521,381.776,"['Phoebe holds a paper and looks at Monica.', 'Monica stands next to Phoebe, who holds a paper.', 'Phoebe looks at Monica, who stands beside her.', ""Phoebe holds a paper, gazing at Monica's face."", 'Phoebe examines a paper, with Monica nearby.']",Chandler and Joey kick a can down the sidewalk.
80,391.113,tt0583521,389.793,"['Chandler and Joey walk, gaze at window.', 'Joey and Chandler look at each other, window.', 'Chandler and Joey examine street, window.', 'Joey and Chandler walk, window catches eye.', 'Chandler and Joey stroll, window display.']",Ross ignores them and sulks.
81,410.356,tt0583521,409.376,"['Chandler looks at Ross.', 'Ross stands with hands in pockets.', 'Chandler looks at Ross.', 'Chandler and Ross gaze down.', 'Ross stands, hands in pockets.']",They continue on.
82,414.416,tt0583521,413.796,"['Ross and Joey walk.', 'They gaze at something.', 'Ross wears a Rangers jersey.', 'Joey and Ross look ahead.', 'They walk together slowly.']",Ross stops.
83,504.05,tt0583521,502.99,"['Rachel sits and gazes.', 'Rachel sits, looking ahead.', 'Rachel sits, focused.', 'Rachel sits, looking straight.', 'Rachel sits, staring.']",Rachel hangs her head.
84,512.192,tt0583521,510.051,"['Rachel stands outside a building at night.', 'Monica holds a glass of water in the kitchen.', 'Rachel stands next to Monica in the kitchen.', 'Rachel looks at a building at night.', 'Rachel and Monica are together in the kitchen.']",Rachel slumps in and sets down her purse.
85,528.588,tt0583521,526.927,"['Rachel hands Monica a glass of juice.', 'Monica drinks the juice handed by Rachel.', 'Monica takes a sip from the glass given by Rachel.', 'Rachel gives Monica a glass of juice to drink.', 'Monica sips the juice Rachel offers her.']",Rachel drinks straight from the blender.
86,607.695,tt0583521,605.214,"['Rachel puts down her phone.', 'Rachel hangs up the phone.', 'Rachel ends her phone call.', 'Rachel sets the phone down.', 'Rachel hangs up the phone call.']",A lit-up sign reads Madison Square Garden.
87,611.356,tt0583521,608.255,"['Rachel Green dances in front of a TV, then stops.', 'Rachel Green stops dancing in front of a TV.', 'Rachel Green pauses in front of a TV.', 'Rachel Green stops moving in front of a TV.', 'Rachel Green freezes in front of a TV.']","Ross, Chandler, and Joey find their seats in the crowded bleachers."
88,797.787,tt0583521,796.046,"['Chandler stands next to Nurse Sizemore.', 'Joey stands beside Chandler and Nurse Sizemore.', 'Nurse Sizemore talks to Joey and Chandler.', ""Chandler and Joey stand near Nurse Sizemore's phone."", 'Joey and Chandler stand next to Nurse Sizemore.']",She shoots them a withering glare.
89,821.856,tt0583521,819.255,"['Ross and friends gather at the reception desk, eating soup.', 'Monica and Rachel enjoy their soup, while Ross and friends chat.', 'Ross talks to the receptionist as Joey and Chandler wait nearby, eating soup.', 'Joey, Chandler, and Ross chat with the receptionist, while Monica and Rachel eat soup.', 'The friends, including Ross, Monica, Rachel, Joey, and Chandler, sit eating soup at the reception desk.']",She glares at Ross and all three of them back away.
90,828.399,tt0583521,826.618,"['Monica eats noodles with chopsticks.', 'Rachel and Monica share a noodle meal.', 'Monica talks to Rachel while eating noodles.', 'Monica and Rachel enjoy a noodle snack.', 'Monica and Rachel eat noodles together.']",Monica eats cookie dough off a spoon.
91,830.319,tt0583521,828.979,"['Monica eats noodles with chopsticks.', 'Rachel eats noodles with a spoon.', 'Monica talks to Rachel.', 'Monica uses chopsticks to eat.', 'Rachel eats noodles slowly.']",Rachel pouts with her drink.
92,908.996,tt0583521,907.715,"['Rachel and Phoebe walk away with pizza.', 'Phoebe and Rachel exchange a glance.', 'Rachel and Phoebe hand pizza to him.', 'Phoebe and Rachel give pizza away.', 'Rachel and Phoebe walk off with pizzas.']",Monica runs to the window.
93,911.378,tt0583521,909.276,"['Rachel hands Phoebe a pizza, then walks away.', 'Phoebe takes the pizza and turns around.', 'Rachel hands Phoebe a pizza, Phoebe turns around.', 'Phoebe receives a pizza from Rachel and turns.', 'Rachel walks away after handing Phoebe a pizza.']","Rachel pays for the pizza, and Phoebe opens it."
94,921.807,tt0583521,920.546,"['Phoebe holds a pizza box.', 'Rachel nods at the pizza.', 'Phoebe talks to Rachel.', 'Rachel looks at the pizza box.', 'Phoebe shows Rachel a pizza.']",Monica peers out the window.
95,960.87,tt0583521,956.787,"['Monica and Rachel walk away, leaving Phoebe standing alone with binoculars.', 'Monica and Rachel look through binoculars, then Phoebe is left alone, holding them.', 'Phoebe is left standing alone, holding binoculars after Monica and Rachel walk away.', 'Monica and Rachel walk away, leaving Phoebe behind with binoculars in hand.', 'Monica and Rachel look through binoculars, then Phoebe is left holding them alone.']","Phoebe covers her mouth, puts down the binoculars, and runs back to the couches."
96,969.476,tt0583521,966.834,"['Ross sits in a wheelchair, looking at Joey in a chair next to him.', 'Joey sits in a chair, engaged in conversation with Ross in a wheelchair.', 'Ross and Joey sit together, discussing something in their conversation.', 'Ross is in a wheelchair, conversing with Joey in a nearby chair.', 'Joey and Ross sit in chairs, having a conversation while a person walks by in the background.']",He notices Ross glaring and sends the puck his way.
97,970.817,tt0583521,969.956,"['Ross sits in a wheelchair.,.', 'Joey chats with Ross.,.', 'Ross and Joey converse.,.', 'Joey sits next to Ross.,.', 'Ross is in a chair.']",Chandler stands.
98,1114.973,tt0583521,1114.052,"['Ross holds a pen.', 'Ross talks to Chandler.', 'Ross sits with Chandler.', 'Chandler listens to Ross.', 'Ross sits and talks.']",Back on the balcony.
