anno_idx,end,end_,imdbid,start,start_,text_gen,text_gt
11,400.075,398.075,tt0583647,398.075,398.075,"1. Main characters: Monica Geller (red), Chandler Bing (yellow), Rachel Green (green), Joey Tribbiani (blue).
2. Actions: Monica holds a pizza box over her head, Chandler looks at her, Monica puts the pizza box on the table, Chandler walks away, Monica walks towards the table, Chandler looks at Monica.
3. Character-character interactions: Monica interacts with Chandler by holding the pizza box over her head and putting it on the table. Chandler looks at Monica and walks away.
4. Key objects: pizza box, table.","She peers through the pan, then sets it down."
12,409.937,407.616,tt0583647,407.616,407.616,"1. Main characters: Monica Geller (green), Rachel Green (yellow), Chandler Bing (blue).
2. Actions: Monica and Rachel are standing in the kitchen, Monica is holding a pizza box, and Rachel is standing next to her. Chandler is standing in front of them, looking at the pizza box. Monica and Rachel then walk away from Chandler.
3. Character-character interactions: Monica and Rachel are interacting with each other, while Chandler is looking at them.
4. Key objects: pizza box, Monica, Rachel, Chandler.","Chandler, Joey, and Phoebe dig through the dish."
13,415.038,412.937,tt0583647,412.937,412.937,"1. Main characters: Monica Geller (red), Dr. Ross Geller (pink).
2. Actions: Monica walks to the door, opens it, and enters the room. Dr. Ross Geller is standing in the doorway, looking at Monica.
3. Character-character interactions: Monica looks at Dr. Ross Geller.
4. Key objects: door.",Monica opens up for a slumped Ross.
14,425.572,423.731,tt0583647,423.731,423.731,"1. Main characters: Joey Tribbiani, Phoebe Buffay, Chandler Bing, Dr. Ross Geller, Monica Geller.
2. Actions: Joey is talking to Phoebe, Chandler is talking to Monica, Ross is talking to Phoebe, Monica is talking to Ross.
3. Character-character interactions: Joey and Phoebe are talking, Chandler and Monica are talking, Ross and Phoebe are talking, Monica and Ross are talking.
4. Key objects: Joey is wearing a tie, Chandler is wearing a shirt, Ross is wearing a shirt, Monica is wearing a shirt.",Phoebe holds up the sauce-covered ring.
15,543.309,541.487,tt0583647,541.487,541.487,"1. Main characters: Monica Geller (red), Judy Geller (green).
2. Actions: Monica is talking to Judy, who is holding a pillow and clapping her hands.
3. Character-character interactions: Monica is looking at Judy, who is looking at Monica.
4. Key objects: Monica is holding a knife, and Judy is holding a pillow.",Mrs. Geller fluffs a throw pillow.
16,553.852,551.91,tt0583647,551.91,551.91,"1. Main characters: Judy Geller (blue), Monica Geller (red), Dr. Ross Geller (green).
2. Actions: Judy Geller is holding a glass and talking, Monica Geller is talking, Dr. Ross Geller is walking towards Monica.
3. Character-character interactions: Judy Geller is talking to Monica Geller, Dr. Ross Geller is walking towards Monica Geller.
4. Key objects: glass, couch.",Monica rolls her eyes to Ross.
17,771.397,768.997,tt0583647,768.997,768.997,"1. Main characters: Dr. Ross Geller, Rachel Green;
2. Actions: Dr. Ross Geller walks towards Rachel Green, who is sitting on the couch, and sits down next to her. Dr. Ross Geller then talks to Rachel Green;
3. Character-character interactions: Dr. Ross Geller talks to Rachel Green while sitting next to her on the couch.","She hands him the broom, then plops on the couch."
18,840.22,837.68,tt0583647,837.68,837.68,"1. Main characters: Rachel Green, Dr. Ross Geller.
2. Actions: Rachel Green is sitting on the couch, while Dr. Ross Geller is standing behind her with his hands on his hips. Dr. Ross Geller then places his hand on Rachel Green's shoulder.
3. Character-character interactions: Dr. Ross Geller places his hand on Rachel Green's shoulder.","He stands behind the couch, gazing down at her."
19,854.543,850.503,tt0583647,850.503,850.503,"1. Main characters: Rachel Green, Dr. Ross Geller.
2. Actions: Dr. Ross Geller puts his hand on Rachel Green's shoulder, she looks up at him, and then he walks away.
3. Character-character interactions: Dr. Ross Geller puts his hand on Rachel Green's shoulder, she looks up at him, and then he walks away.
4. Key objects: Couch, lamp, curtains.","She leans her head back on the couch, then gently rests it against his hand."
20,864.629,860.687,tt0583647,860.687,860.687,"1. Main characters: Dr. Ross Geller (green), Rachel Green (red);
2. Actions: Dr. Ross Geller is standing up and talking to Rachel Green, who is sitting on the couch. The man is also adjusting the camera.
3. Character-character interactions: Dr. Ross Geller is looking at Rachel Green, who is looking at him.
4. Key objects: The couch, the man's hand adjusting the camera, and the man's face.","He awkwardly pulls over a stool without moving his hand, then sits."
21,869.412,865.97,tt0583647,865.97,865.97,"1. Main characters: Rachel Green, Dr. Ross Geller.
2. Actions: Dr. Ross Geller walks into the room, talks to Rachel Green, and points at her. Rachel Green looks at Dr. Ross Geller.
3. Character-character interactions: Dr. Ross Geller talks to Rachel Green, and Rachel Green looks at him.","At a doctor's office, a plastic model shows a baby in a womb."
22,872.814,870.253,tt0583647,870.253,870.253,"1. Main characters: Rachel Green (green), Dr. Ross Geller (red), Carol Willick (blue).
2. Actions: The camera pans from a model of a pregnant woman to a woman sitting on a hospital bed, then to a man entering the room and speaking to the woman.
3. Character-character interactions: The man speaks to the woman on the bed.
4. Key objects: A model of a pregnant woman, a hospital bed, a man entering the room.",Carol sits on the exam table as Ross hurries in.
23,882.24,881.36,tt0583647,881.36,881.36,"1. Main characters: Dr. Ross Geller (green), Susan Bunch (yellow).
2. Actions: Dr. Ross Geller is talking to Susan Bunch, who is sitting on a chair.
3. Character-character interactions: Dr. Ross Geller is looking at Susan Bunch, who is looking at him.
4. Key objects: A chair, a desk, and a lamp.",Susan steps in.
24,912.609,911.209,tt0583647,911.209,911.209,"1. Main characters: Dr. Ross Geller (red), Susan Bunch (green), Carol Willick (blue).
2. Actions: Dr. Ross Geller is talking to Susan Bunch and Carol Willick. Susan Bunch is listening to Dr. Ross Geller and Carol Willick. Carol Willick is sitting on a chair.
3. Character-character interactions: Dr. Ross Geller is talking to Susan Bunch and Carol Willick. Susan Bunch is listening to Dr. Ross Geller and Carol Willick. Carol Willick is sitting on a chair.
4. Key objects: Dr. Ross Geller is wearing a brown vest and a white shirt. Susan Bunch is wearing a pink dress and white shoes. Carol Willick is wearing a blue dress.",Susan hands him a juice box.
25,915.31,914.289,tt0583647,914.289,914.289,"1. Main characters: Dr. Ross Geller, Susan Bunch, Carol Willick;
2. Actions: Dr. Ross Geller hands a cup to Susan Bunch, then walks towards Carol Willick, who is sitting on a bed. Susan Bunch walks towards Carol Willick, who is sitting on a bed, and hands her a cup. Carol Willick drinks from the cup;
3. Character-character interactions: Dr. Ross Geller hands a cup to Susan Bunch, then walks towards Carol Willick, who is sitting on a bed. Susan Bunch walks towards Carol Willick, who is sitting on a bed, and hands her a cup. Carol Willick drinks from the cup.",He passes it to Carol.
26,919.174,917.333,tt0583647,917.333,917.333,"1. Main characters: Susan Bunch (blue), Dr. Ross Geller (red);
2. Actions: Dr. Ross Geller is standing and talking to Susan Bunch, who is standing with her arms crossed. Dr. Ross Geller is holding a glass of water in his right hand. Susan Bunch then sits down on a chair. Dr. Ross Geller walks towards the patient, who is sitting on a bed, and talks to her. The patient is holding a glass of water in her left hand and is wearing a blue shirt. The patient then stands up and walks towards Dr. Ross Geller.
3. Character-character interactions: Dr. Ross Geller is talking to Susan Bunch, who is standing with her arms crossed. The patient is sitting on a bed and holding a glass of water in her left hand. Dr. Ross Geller walks towards the patient and talks to her. The patient then stands up and walks towards Dr. Ross Geller.",She sips it as Susan takes a seat.
27,926.476,924.555,tt0583647,924.555,924.555,"1. Main characters: Dr. Ross Geller, Susan Bunch, Carol Willick.
2. Actions: Dr. Ross Geller picks up a speculum and examines Susan Bunch's vagina, while Susan Bunch sits on the examination table and looks at the speculum.
3. Character-character interactions: Dr. Ross Geller and Susan Bunch interact with each other, while Carol Willick watches from the side.
4. Key objects: speculum, examination table.",He picks up a speculum and smiles.
28,928.237,926.976,tt0583647,926.976,926.976,"1. Main characters: Dr. Ross Geller, Carol Willick;
2. Actions: Dr. Ross Geller is holding a glass of water and a pill bottle, while Carol Willick is drinking water from a glass;
3. Character-character interactions: Dr. Ross Geller is looking at Carol Willick;
4. Key objects: glass of water, pill bottle, glass.",He holds it up like a puppet.
29,940.422,939.421,tt0583647,939.421,939.421,"1. Main characters: Carol Willick (green), Dr. Ross Geller (red).
2. Actions: Dr. Ross Geller is holding a speculum and talking to Carol Willick, who is sitting on a hospital bed and holding a cup. Carol Willick then stands up and walks out of the room.
3. Character-character interactions: Dr. Ross Geller is talking to Carol Willick, who is listening to him. Carol Willick then stands up and walks out of the room.
4. Key objects: Dr. Ross Geller is holding a speculum, and Carol Willick is holding a cup.",He tosses it down.
30,944.643,940.982,tt0583647,940.982,940.982,"1. Main characters: Dr. Ross Geller (red), Carol Willick (green);
2. Actions: Dr. Ross Geller puts the speculum in the patient's vagina, then walks away, while Carol Willick enters the room;
3. Character-character interactions: Dr. Ross Geller looks at Carol Willick;
4. Key objects: speculum, patient's vagina.",Now Rachel eases into a dentist's office as he works on a kid's teeth.
31,1168.384,1165.405,tt0583647,1165.405,1165.405,"1. Main characters: Susan Bunch, Dr. Ross Geller;
2. Actions: Dr. Ross Geller is sitting in a chair, holding a pink object in his hand, while Susan Bunch is standing next to him, talking and gesturing with her hands. The boy in the dental chair is not visible in this shot;
3. Character-character interactions: Dr. Ross Geller is listening to Susan Bunch, who is speaking and gesturing.",The kid throws up his arms at the OBGYN.
32,1264.411,1262.712,tt0583647,1262.712,1262.712,"1. Main characters: Dr. Ross Geller, Susan Bunch, Carol Willick.
2. Actions: Dr. Ross Geller enters the room, talks to Susan Bunch, and looks at the ultrasound screen. Susan Bunch and Carol Willick are both looking at the ultrasound screen.
3. Character-character interactions: Dr. Ross Geller is talking to Susan Bunch, and Susan Bunch and Carol Willick are both looking at the ultrasound screen.",He takes Susan and Carol's hands.
33,1274.187,1270.449,tt0583647,1270.449,1270.449,"1. Main characters: Dr. Ross Geller (red), Susan Bunch (green), Carol Willick (blue);
2. Actions: Dr. Ross Geller is talking to Susan Bunch and Carol Willick, who are both looking at the ultrasound screen. The ultrasound screen is showing a baby's image.
3. Character-character interactions: Dr. Ross Geller is explaining something to Susan Bunch and Carol Willick, who are both paying close attention.","Executive producers Kevin S. Bright, Marta Kaufman, and David Crane."
34,1280.045,1277.446,tt0583647,1277.446,1277.446,"1. Main characters: 'Wendy Knoller' and 'Andy Zall';
2. Actions: 'Wendy Knoller and Andy Zall are standing in front of a television screen, watching the ultrasound image of a baby. They are both looking at the screen and appear to be discussing the image';
3. Character-character interactions: 'Wendy Knoller and Andy Zall are interacting with each other, possibly sharing their thoughts or observations about the ultrasound image'.","At Monica's, Ross plays the sonogram for the group."
35,1285.663,1283.763,tt0583647,1283.763,1283.763,"1. Main characters: Dr. Ross Geller (blue), Joey Tribbiani (red), Chandler Bing (green);
2. Actions: Dr. Ross Geller is pointing at the ultrasound image on the TV, while Joey Tribbiani and Chandler Bing are watching the TV and discussing;
3. Character-character interactions: Dr. Ross Geller is pointing at the ultrasound image on the TV, while Joey Tribbiani and Chandler Bing are watching the TV and discussing;
4. Key objects: TV, ultrasound image.",Chandler and Joey squint at the screen.
36,77.092,74.531,tt0583653,74.531,74.531,"1. Main characters: Joey Tribbiani (yellow), Monica Geller (pink), Dr. Ross Geller (blue).
2. Actions: Joey Tribbiani is holding a cup and talking, Monica Geller is sitting and listening, Dr. Ross Geller is holding a cup and talking.
3. Character-character interactions: Joey Tribbiani and Monica Geller are looking at each other, Dr. Ross Geller is looking at Joey Tribbiani.
4. Key objects: cups.",They stare at him sympathetically.
37,166.055,164.294,tt0583653,164.294,164.294,"1. Main characters: Chandler Bing (red), Joey Tribbiani (green);
2. Actions: Chandler Bing is talking to Joey Tribbiani, Chandler Bing is smoking a cigarette, Chandler Bing is sitting on the couch, Joey Tribbiani is sitting on the couch;
3. Character-character interactions: Chandler Bing is looking at Joey Tribbiani, Chandler Bing is talking to Joey Tribbiani, Chandler Bing is smoking a cigarette, Chandler Bing is sitting on the couch, Joey Tribbiani is sitting on the couch;
4. Key objects: a cigarette, a couch.",Joey grabs a cigarette and lighter.
38,168.075,166.555,tt0583653,166.555,166.555,"1. Main characters: Joey Tribbiani, Chandler Bing.
2. Actions: Joey Tribbiani is sitting on the couch and talking to Chandler Bing, who is sitting on the floor. Joey Tribbiani is holding a piece of paper and Chandler Bing is holding a pen.
3. Character-character interactions: Joey Tribbiani is talking to Chandler Bing, who is listening to him.",The lighter flips out of his hand.
39,171.597,168.596,tt0583653,168.596,168.596,"1. Main characters: Chandler Bing (green), Joey Tribbiani (red);
2. Actions: Chandler Bing puts a cigarette in his mouth, Joey Tribbiani stands up, Chandler Bing puts the cigarette in his mouth again, Joey Tribbiani sits down;
3. Character-character interactions: Chandler Bing and Joey Tribbiani are talking;
4. Key objects: cigarette.","He clambers after it, then manages to light his cigarette."
40,229.978,228.696,tt0583653,228.696,228.696,"1. Main characters: Chandler Bing (red), Joey Tribbiani (green).
2. Actions: Chandler Bing is talking to Joey Tribbiani, who is standing with his hands on his hips. Joey Tribbiani then walks away.
3. Character-character interactions: Chandler Bing is speaking to Joey Tribbiani, who is listening.
4. Key objects: No key objects are mentioned.",He sinks with pleasure.
41,233.18,230.838,tt0583653,230.838,230.838,"1. Main characters: Chandler Bing (red), Joey Tribbiani (green).
2. Actions: Chandler Bing is talking and gesturing with his hands, while Joey Tribbiani is standing and looking at him.
3. Character-character interactions: Chandler Bing is looking at Joey Tribbiani, and Joey Tribbiani is looking at Chandler Bing.
4. Facial expressions: Chandler Bing has a serious expression, while Joey Tribbiani has a surprised expression.","At the coffee shop, Monica sits with the guys."
42,245.131,242.869,tt0583653,242.869,242.869,"1. Main characters: Dr. Ross Geller, Chandler Bing, Joey Tribbiani;
2. Actions: Dr. Ross Geller is talking to Chandler Bing and Joey Tribbiani, Chandler Bing is talking to Dr. Ross Geller and Joey Tribbiani, Joey Tribbiani is talking to Dr. Ross Geller and Chandler Bing;
3. Character-character interactions: Dr. Ross Geller is looking at Chandler Bing and Joey Tribbiani, Chandler Bing is looking at Dr. Ross Geller and Joey Tribbiani, Joey Tribbiani is looking at Dr. Ross Geller and Chandler Bing;
4. Key objects: ''.","Joey, Ross, and Chandler study their hands."
43,257.914,256.813,tt0583653,256.813,256.813,"1. Main characters: Chandler Bing (green), Joey Tribbiani (blue), Dr. Ross Geller (red), Rachel Green (yellow);
2. Actions: Chandler is sitting on the couch, Joey is sitting on the floor, Ross is sitting on the couch, Rachel is standing and carrying a tray with food, Monica is sitting on the couch;
3. Character-character interactions: Chandler is talking to Ross, Ross is talking to Chandler, Rachel is talking to Monica, Monica is talking to Rachel.",Rachel carries a tray.
44,262.496,260.775,tt0583653,260.775,260.775,"1. Main characters: Dr. Ross Geller, Joey Tribbiani, Rachel Green;
2. Actions: Dr. Ross Geller is sitting on the couch, holding a cup of coffee. Joey Tribbiani is sitting on the couch, holding a cup of coffee. Rachel Green is standing up, holding a cup of coffee. Monica Geller is sitting on the couch, holding a cup of coffee. Chandler Bing is sitting on the couch, holding a cup of coffee. Phoebe Buffay is sitting on the couch, holding a cup of coffee. 
3. Character-character interactions: Dr. Ross Geller is talking to Joey Tribbiani. Rachel Green is talking to Monica Geller. Chandler Bing is talking to Phoebe Buffay.",They pass saucers and cups to each other.
45,278.382,276.201,tt0583653,276.201,276.201,"1. Main characters: Monica Geller (blue), Chandler Bing (red), Rachel Green (green), Joey Tribbiani (yellow), Dr. Ross Geller (pink);
2. Actions: Monica hands a plate to Chandler, Chandler hands a plate to Joey, Rachel hands a plate to Monica, Ross walks in;
3. Character-character interactions: Monica hands a plate to Chandler, Chandler hands a plate to Joey, Rachel hands a plate to Monica, Ross walks in.","She leaves, and they all exchange their drinks."
46,626.302,624.801,tt0583653,624.801,624.801,"1. Main characters: Chandler Bing (red), Rachel Green (green), Dr. Ross Geller (blue).
2. Actions: Chandler Bing is talking to the group, while Rachel Green and Dr. Ross Geller are standing and listening. The group is gathered in a living room with a coffee table in the center.
3. Character-character interactions: Chandler Bing is speaking to the group, while Rachel Green and Dr. Ross Geller are listening.",Chandler runs in slow motion.
47,643.48,640.438,tt0583653,640.438,640.438,"1. Main characters: yellow: Chandler Bing, green: Joey Tribbiani, red: Phoebe Buffay, pink: Rachel Green, cyan: Monica Geller;
2. Actions: yellow: Chandler Bing is talking to the camera, green: Joey Tribbiani is sitting on the couch, red: Phoebe Buffay is standing up, pink: Rachel Green is sitting on the couch, cyan: Monica Geller is standing up;
3. Character-character interactions: yellow: Chandler Bing is talking to the camera, green: Joey Tribbiani is sitting on the couch, red: Phoebe Buffay is standing up, pink: Rachel Green is sitting on the couch, cyan: Monica Geller is standing up;
4. Key objects: yellow: camera, green: couch, red: Phoebe Buffay, pink: Rachel Green, cyan: Monica Geller.",The others sit and gaze off with dreamy expressions.
48,646.301,644.2,tt0583653,644.2,644.2,"1. Main characters: Monica Geller;
2. Actions: Monica is sitting at the bar counter, looking at a piece of paper;
3. Character-character interactions: Monica is looking at a piece of paper.",Monica looks around at them and tilts her head.
49,652.819,649.277,tt0583653,649.277,649.277,"1. Main characters: Monica Geller (pink), Rachel Green (yellow);
2. Actions: Monica is sitting at the bar counter, Rachel is standing behind her, both are looking at a menu;
3. Character-character interactions: Monica is pointing at the menu, Rachel is looking at it.",Monica reads at the coffee shop as the others arrive in softball gear.
50,655.819,654.699,tt0583653,654.699,654.699,"1. Main characters: Monica Geller (red), Dr. Ross Geller (green), Joey Tribbiani (blue);
2. Actions: Monica is talking to the people behind the counter, while the other two characters are walking towards her.
3. Character-character interactions: Monica is looking at the people behind the counter, while the other two characters are looking at her.
4. Key objects: The counter, the people behind it, and the characters' faces.",They slump inside.
51,766.967,765.046,tt0583653,765.046,765.046,"1. Main characters: Lizzy (red), Phoebe Buffay (green), Chandler Bing (blue);
2. Actions: Lizzy and Phoebe are talking, Chandler Bing is sitting at his desk, looking at a clock on the wall;
3. Character-character interactions: Lizzy and Phoebe are looking at each other, Chandler Bing is looking at the clock.",A view travels up a high rise building.
52,770.749,767.707,tt0583653,767.707,767.707,"1. Main characters: Lizzy (red), Phoebe Buffay (green), Chandler Bing (blue).
2. Actions: Lizzy and Phoebe are talking, Chandler Bing is sitting at his desk, looking at a computer screen.
3. Character-character interactions: Lizzy and Phoebe are talking, Chandler Bing is looking at a computer screen.
4. Environment: The scene is set in an office, with a fountain in the background and a clock on the wall.","At Chandler's office, he works on a computer in his cubicle."
53,776.011,771.589,tt0583653,771.589,771.589,"1. Main characters: Chandler Bing (blue).
2. Actions: Chandler Bing is sitting at his desk, working on his computer. He then stands up and pulls out a drawer from his desk.
3. Character-character interactions: Chandler Bing looks at the camera.","He peers around to make sure no one's watching, then takes a cigarette from his desk drawer."
54,783.779,780.038,tt0583653,780.038,780.038,"1. Main characters: Chandler Bing (blue).
2. Actions: Chandler Bing is sitting at his desk, looking at a computer screen, then he stands up and pulls out a drawer from his desk.
3. Character-character interactions: Chandler Bing interacts with the computer screen.","He takes a drag, then shuts the smoking cigarette back in the drawer."
55,787.16,784.599,tt0583653,784.599,784.599,"1. Main characters: Chandler Bing (red);
2. Actions: Chandler Bing is sitting at his desk, opening a drawer, and looking around.
3. Character-character interactions: Chandler Bing is looking around.
4. Key objects: desk, drawer, computer, clock, dartboard, sign.","From another drawer, he pulls out a handheld fan."
56,792.261,788.079,tt0583653,788.079,788.079,"1. Main characters: Chandler Bing (red circle).
2. Actions: Chandler Bing is seen sitting at his desk, opening a drawer, and taking out a bottle of water. He then drinks from the bottle and puts it back in the drawer.
3. Character-character interactions: Chandler Bing interacts with the bottle of water.
4. Key objects: bottle of water, drawer.","He blows it while spraying air freshener, then replaces the fan and shuts the drawer."
57,795.301,792.941,tt0583653,792.941,792.941,"1. Main characters: Chandler Bing (red);
2. Actions: Chandler Bing takes out a bottle of water from the drawer, drinks from it, and puts it back in the drawer.
3. Character-character interactions: Chandler Bing interacts with the drawer.
4. Key objects: bottle of water, drawer.","He uses breath spray, then returns to his work."
58,803.823,801.182,tt0583653,801.182,801.182,"1. Main characters: Chandler Bing;
2. Actions: Chandler Bing is sitting at his desk, typing on the keyboard, and then smoking a cigarette.
3. Character-character interactions: Chandler Bing is looking at the computer screen.
4. Key objects: computer, keyboard, cigarette.","He glances at the desk drawer, then sneaks another puff."
59,812.545,807.621,tt0583653,807.621,807.621,"1. Main characters: Chandler Bing;
2. Actions: Chandler Bing picks up a lighter and a match, lights a cigarette, and puts it in his mouth, then puts the lighter down and picks up a phone.
3. Character-character interactions: Chandler Bing looks at the phone.
4. Key objects: lighter, match, cigarette, phone.","He shuts the cigarette back in the drawer, gets the fan, and sprays the breath freshener into the air."
60,834.534,833.253,tt0583653,833.253,833.253,"1. Main characters: Lizzy (red), Phoebe Buffay (green);
2. Actions: Lizzy is sitting on a bench, Phoebe is standing and holding a pink cup. Phoebe is looking at Lizzy and then drinks from the cup.
3. Character-character interactions: Phoebe is looking at Lizzy while Lizzy is sitting on the bench.
4. Key objects: pink cup.",Lizzie rolls her cart away.
61,840.353,839.252,tt0583653,839.252,839.252,"1. Main characters: Phoebe Buffay;
2. Actions: Phoebe drinks from a pink cup;
3. Character-character interactions: Phoebe looks at the camera.",Later at the coffee shop.
62,861.517,860.275,tt0583653,860.275,860.275,"1. Main characters: Phoebe Buffay (yellow), Chandler Bing (green), Dr. Ross Geller (blue).
2. Actions: Phoebe Buffay enters the room, Chandler Bing and Dr. Ross Geller look at her, Phoebe Buffay walks towards the table.
3. Character-character interactions: Chandler Bing and Dr. Ross Geller look at Phoebe Buffay, Phoebe Buffay walks towards the table.
4. Key objects: Phoebe Buffay holds a pink can.",Chandler lights a cigarette.
63,891.34,890.218,tt0583653,890.218,890.218,"1. Main characters: Chandler Bing (red), Joey Tribbiani (green), Dr. Ross Geller (blue).
2. Actions: Chandler Bing is speaking and gesturing with his hands, while Joey Tribbiani is listening and nodding his head. Dr. Ross Geller is sitting and listening to Chandler Bing.
3. Character-character interactions: Chandler Bing is looking at Joey Tribbiani, while Joey Tribbiani is looking at Chandler Bing. Dr. Ross Geller is looking at Chandler Bing.
4. Key objects: There are no key objects in this scene.",They sit and reflect.
64,914.681,912.839,tt0583653,912.839,912.839,"1. Main characters: Monica Geller (blue), Phoebe Buffay (yellow);
2. Actions: Monica is talking, Phoebe is listening;
3. Character-character interactions: Monica is looking at Phoebe, Phoebe is looking at Monica;
4. Key objects: Monica is holding a cup.",Phoebe releases a mouthful of hair.
65,954.549,951.727,tt0583653,951.727,951.727,"1. Main characters: Chandler Bing (yellow), Rachel Green (red), Joey Tribbiani (green), Phoebe Buffay (blue), Monica Geller (pink), Paula (cyan);
2. Actions: Chandler Bing is standing up and talking to the group. Rachel Green is sitting at the table and talking to the group. Joey Tribbiani is sitting at the table and talking to the group. Phoebe Buffay is standing in front of the counter and talking to the group. Monica Geller is standing in front of the counter and talking to the group. Paula is standing in front of the counter and talking to the group.
3. Character-character interactions: Chandler Bing is talking to the group. Rachel Green is talking to the group. Joey Tribbiani is talking to the group. Phoebe Buffay is talking to the group. Monica Geller is talking to the group. Paula is talking to the group.
4. Key objects: There are no key objects mentioned in the video.",Chandler smiles to himself and walks away smoking.
66,961.035,959.374,tt0583653,959.374,959.374,"1. Main characters: Joey Tribbiani (red), Phoebe Buffay (green), Chandler Bing (blue), Monica Geller (yellow), Paula (pink);
2. Actions: Joey Tribbiani is sitting on a couch, Phoebe Buffay is sitting on a couch, Chandler Bing is sitting on a couch, Monica Geller is sitting on a couch, Paula is standing in front of a counter;
3. Character-character interactions: Joey Tribbiani is talking to Phoebe Buffay, Chandler Bing is talking to Monica Geller, Monica Geller is talking to Paula.",In the kitchen at Monica's restaurant.
