,anno_idx,end,imdbid,start,text_gen,text_gt,gt_action,action_score_breakdown,action_score
10,2,247.08,tt0583459,245.979,Rachel sits down smiling.,Rachel sits next to him.,['He sits next to him.'],[0.3902983903884888],0.3902983903884888
11,2,247.08,tt0583459,245.979,Rachel puts hands on her lap.,Rachel sits next to him.,['He sits next to him.'],[0.35683803558349614],0.35683803558349614
12,2,247.08,tt0583459,245.979,Rachel smiles at Monica and Phoebe.,Rachel sits next to him.,['He sits next to him.'],[0.2831169366836548],0.2831169366836548
13,2,247.08,tt0583459,245.979,Rachel sits with her hands.,Rachel sits next to him.,['He sits next to him.'],[0.49213939905166626],0.49213939905166626
14,2,247.08,tt0583459,245.979,Rachel smiles and looks at them.,Rachel sits next to him.,['He sits next to him.'],[0.3985465526580811],0.3985465526580811
15,3,905.663,tt0583459,903.382,Monica holds a cup while chatting with friends.,Monica beams and sidles back inside.,"['She beams.', 'She sidles back inside.']","[0.3441170692443848, 0.3363659858703614]",0.3402415275573731
16,3,905.663,tt0583459,903.382,"Rachel and Joey join Monica, all holding cups.",Monica beams and sidles back inside.,"['She beams.', 'She sidles back inside.']","[0.32272412776947024, 0.3029922723770142]",0.3128582000732422
17,3,905.663,tt0583459,903.382,"Monica talks to friends, all holding cups nearby.",Monica beams and sidles back inside.,"['She beams.', 'She sidles back inside.']","[0.33290672302246094, 0.3185161113739014]",0.3257114171981812
18,3,905.663,tt0583459,903.382,"Monica, Rachel, and Joey gather, each with a cup.",Monica beams and sidles back inside.,"['She beams.', 'She sidles back inside.']","[0.3649204254150391, 0.35842638015747075]",0.3616734027862549
19,3,905.663,tt0583459,903.382,"Monica, surrounded by friends, holds a cup.",Monica beams and sidles back inside.,"['She beams.', 'She sidles back inside.']","[0.39877061843872075, 0.3648558139801026]",0.38181321620941167
20,4,907.465,tt0583459,906.184,Chandler irons while Monica talks.,She shuts the door behind her.,"['She shuts the door.', 'She is behind her.']","[0.36519985198974614, 0.3876771211624146]",0.37643848657608037
21,4,907.465,tt0583459,906.184,Rachel chats on the phone nearby.,She shuts the door behind her.,"['She shuts the door.', 'She is behind her.']","[0.3593574285507202, 0.39303572177886964]",0.37619657516479493
22,4,907.465,tt0583459,906.184,Joey sits watching Chandler iron.,She shuts the door behind her.,"['She shuts the door.', 'She is behind her.']","[0.271576738357544, 0.29419546127319335]",0.28288609981536866
23,4,907.465,tt0583459,906.184,Chandler talks to Monica standing.,She shuts the door behind her.,"['She shuts the door.', 'She is behind her.']","[0.275935697555542, 0.3081209659576416]",0.2920283317565918
24,4,907.465,tt0583459,906.184,Monica stands while Chandler irons.,She shuts the door behind her.,"['She shuts the door.', 'She is behind her.']","[0.30368406772613527, 0.3249443769454956]",0.3143142223358154
25,5,1294.199,tt0583459,1292.779,Rachel gets up from the couch.,Rachel smiles and stands.,"['She smiles.', 'She stands.']","[0.37682633399963383, 0.4739644527435303]",0.42539539337158205
26,5,1294.199,tt0583459,1292.779,Ross remains seated on the couch.,Rachel smiles and stands.,"['She smiles.', 'She stands.']","[0.3406233310699463, 0.3457023143768311]",0.3431628227233887
27,5,1294.199,tt0583459,1292.779,Rachel walks towards the table.,Rachel smiles and stands.,"['She smiles.', 'She stands.']","[0.36372804641723633, 0.4095911502838135]",0.3866595983505249
28,5,1294.199,tt0583459,1292.779,Rachel leaves the couch behind.,Rachel smiles and stands.,"['She smiles.', 'She stands.']","[0.34517736434936525, 0.41323595046997075]",0.37920665740966797
29,5,1294.199,tt0583459,1292.779,Ross stays put on the couch.,Rachel smiles and stands.,"['She smiles.', 'She stands.']","[0.287113094329834, 0.30002450942993164]",0.2935688018798828
30,6,1299.126,tt0583459,1297.945,Ross holds a glass of water.,She heads into her bedroom.,['She heads into her bedroom.'],[0.26746292114257814],0.26746292114257814
31,6,1299.126,tt0583459,1297.945,Rachel walks towards the kitchen.,She heads into her bedroom.,['She heads into her bedroom.'],[0.49454498291015625],0.49454498291015625
32,6,1299.126,tt0583459,1297.945,Ross looks at Rachel.,She heads into her bedroom.,['She heads into her bedroom.'],[0.29359092712402346],0.29359092712402346
33,6,1299.126,tt0583459,1297.945,Rachel gets up from the couch.,She heads into her bedroom.,['She heads into her bedroom.'],[0.4732980728149414],0.4732980728149414
34,6,1299.126,tt0583459,1297.945,Ross sits on the couch holding water.,She heads into her bedroom.,['She heads into her bedroom.'],[0.3068342447280884],0.3068342447280884
35,7,167.64,tt0583647,164.381,Ross walks towards a caveman statue and converses with it.,Marsha slumps off as Ross waves Carol into the exhibit.,['He waves her into the exhibit.'],[0.3803273677825928],0.3803273677825928
36,7,167.64,tt0583647,164.381,Ross talks to a woman in a red vest and a man in a blue shirt.,Marsha slumps off as Ross waves Carol into the exhibit.,['He waves her into the exhibit.'],[0.3340483188629151],0.3340483188629151
37,7,167.64,tt0583647,164.381,Ross approaches a caveman statue and engages in conversation.,Marsha slumps off as Ross waves Carol into the exhibit.,['He waves her into the exhibit.'],[0.370712947845459],0.370712947845459
38,7,167.64,tt0583647,164.381,Ross interacts with a woman in a red vest and a man in a blue shirt.,Marsha slumps off as Ross waves Carol into the exhibit.,['He waves her into the exhibit.'],[0.364210319519043],0.364210319519043
39,7,167.64,tt0583647,164.381,"Ross walks towards a caveman statue, then talks to a woman and man.",Marsha slumps off as Ross waves Carol into the exhibit.,['He waves her into the exhibit.'],[0.3939165353775025],0.3939165353775025
40,8,170.96,tt0583647,168.16,Ross walks away after conversing with someone.,"He tries to adjust the caveman, and the arm falls off.","['He tries to adjust the caveman.', 'The arm falls off.']","[0.3165505170822144, 0.2954766273498535]",0.306013572216034
41,8,170.96,tt0583647,168.16,Ross talks to someone before walking away.,"He tries to adjust the caveman, and the arm falls off.","['He tries to adjust the caveman.', 'The arm falls off.']","[0.28067493438720703, 0.36032464504241946]",0.32049978971481324
42,8,170.96,tt0583647,168.16,"Ross engages in a conversation, then leaves.","He tries to adjust the caveman, and the arm falls off.","['He tries to adjust the caveman.', 'The arm falls off.']","[0.31536355018615725, 0.4020857810974121]",0.3587246656417847
43,8,170.96,tt0583647,168.16,Ross has a brief chat before departing.,"He tries to adjust the caveman, and the arm falls off.","['He tries to adjust the caveman.', 'The arm falls off.']","[0.2551747798919678, 0.3343105792999268]",0.2947426795959473
44,8,170.96,tt0583647,168.16,Ross walks off after a short conversation.,"He tries to adjust the caveman, and the arm falls off.","['He tries to adjust the caveman.', 'The arm falls off.']","[0.28530378341674806, 0.3375839471817017]",0.31144386529922485
45,9,174.06,tt0583647,171.68,Ross falls to the ground in front of a woman in blue.,He picks it up and uses it to wave at Carol.,"['He picks it up.', 'He uses it to wave at her.']","[0.2688254117965698, 0.2947075128555298]",0.28176646232604985
46,9,174.06,tt0583647,171.68,"Ross talks to a woman in a blue dress, then falls down.",He picks it up and uses it to wave at Carol.,"['He picks it up.', 'He uses it to wave at her.']","[0.4023449897766114, 0.35519371032714847]",0.37876935005187995
47,9,174.06,tt0583647,171.68,"Ross converses with a woman in a blue dress, then hits the ground.",He picks it up and uses it to wave at Carol.,"['He picks it up.', 'He uses it to wave at her.']","[0.4059417247772217, 0.3520543098449707]",0.37899801731109617
48,9,174.06,tt0583647,171.68,"Ross falls to the ground, near a woman in a blue dress.",He picks it up and uses it to wave at Carol.,"['He picks it up.', 'He uses it to wave at her.']","[0.3049285411834717, 0.35268163681030273]",0.3288050889968872
49,9,174.06,tt0583647,171.68,"Ross talks to a woman in blue, then collapses to the ground.",He picks it up and uses it to wave at Carol.,"['He picks it up.', 'He uses it to wave at her.']","[0.3578164577484131, 0.35933396816253665]",0.3585752129554749
50,10,175.899,tt0583647,174.66,Ross stands in the museum.,She awkwardly waves back.,['She awkwardly waves back.'],[0.22306537628173828],0.22306537628173828
51,10,175.899,tt0583647,174.66,Ross talks to a woman.,She awkwardly waves back.,['She awkwardly waves back.'],[0.30292716026306155],0.30292716026306155
52,10,175.899,tt0583647,174.66,Ross engages with a woman.,She awkwardly waves back.,['She awkwardly waves back.'],[0.344769024848938],0.344769024848938
53,10,175.899,tt0583647,174.66,Woman and Ross converse.,She awkwardly waves back.,['She awkwardly waves back.'],[0.3048555612564087],0.3048555612564087
54,10,175.899,tt0583647,174.66,Ross stands with a woman.,She awkwardly waves back.,['She awkwardly waves back.'],[0.31882758140563966],0.31882758140563966
55,11,400.075,tt0583647,398.075,Monica holds a pizza box over her head.,"She peers through the pan, then sets it down.","['She peers through the pan.', 'She sets it down.']","[0.35582273006439213, 0.329841423034668]",0.3428320765495301
56,11,400.075,tt0583647,398.075,Chandler looks at Monica and walks away.,"She peers through the pan, then sets it down.","['She peers through the pan.', 'She sets it down.']","[0.3484529495239258, 0.41996726989746097]",0.38421010971069336
57,11,400.075,tt0583647,398.075,Monica puts a pizza box on the table.,"She peers through the pan, then sets it down.","['She peers through the pan.', 'She sets it down.']","[0.3388272523880005, 0.40691113471984863]",0.37286919355392456
58,11,400.075,tt0583647,398.075,Monica walks towards the table where Chandler is.,"She peers through the pan, then sets it down.","['She peers through the pan.', 'She sets it down.']","[0.3321454763412476, 0.3413005113601685]",0.33672299385070803
59,11,400.075,tt0583647,398.075,Chandler looks at Monica and walks away from the table.,"She peers through the pan, then sets it down.","['She peers through the pan.', 'She sets it down.']","[0.3484529972076416, 0.4165830612182617]",0.38251802921295164
60,12,409.937,tt0583647,407.616,"Monica holds a pizza box, Rachel stands beside her.","Chandler, Joey, and Phoebe dig through the dish.",['They dig through the dish.'],[0.3278008222579956],0.3278008222579956
61,12,409.937,tt0583647,407.616,"Chandler looks at the pizza box, Monica and Rachel walk away.","Chandler, Joey, and Phoebe dig through the dish.",['They dig through the dish.'],[0.3468293905258179],0.3468293905258179
62,12,409.937,tt0583647,407.616,"Monica and Rachel interact, Chandler gazes at the pizza box.","Chandler, Joey, and Phoebe dig through the dish.",['They dig through the dish.'],[0.34662554264068607],0.34662554264068607
63,12,409.937,tt0583647,407.616,"Rachel stands by Monica, who holds a pizza box.","Chandler, Joey, and Phoebe dig through the dish.",['They dig through the dish.'],[0.3578602552413941],0.3578602552413941
64,12,409.937,tt0583647,407.616,"Monica and Rachel walk off, leaving Chandler at the pizza box.","Chandler, Joey, and Phoebe dig through the dish.",['They dig through the dish.'],[0.3630298137664795],0.3630298137664795
65,13,415.038,tt0583647,412.937,Monica opens the door and enters the room.,Monica opens up for a slumped Ross.,"['He opens up.', 'He is slumped.']","[0.434418535232544, 0.3505229473114014]",0.3924707412719727
66,13,415.038,tt0583647,412.937,Ross stands in the doorway as Monica walks in.,Monica opens up for a slumped Ross.,"['He opens up.', 'He is slumped.']","[0.375232744216919, 0.3085573434829712]",0.34189504384994507
67,13,415.038,tt0583647,412.937,Monica looks at Ross as she enters the room.,Monica opens up for a slumped Ross.,"['He opens up.', 'He is slumped.']","[0.38221564292907717, 0.30832524299621583]",0.34527044296264653
68,13,415.038,tt0583647,412.937,"Monica enters the room, and Ross looks at her.",Monica opens up for a slumped Ross.,"['He opens up.', 'He is slumped.']","[0.36304984092712406, 0.30011062622070317]",0.33158023357391364
69,13,415.038,tt0583647,412.937,Ross stands in the doorway as Monica walks in.,Monica opens up for a slumped Ross.,"['He opens up.', 'He is slumped.']","[0.375232744216919, 0.3085573434829712]",0.34189504384994507
70,14,425.572,tt0583647,423.731,Joey wears a tie and talks to Phoebe.,Phoebe holds up the sauce-covered ring.,['She holds up the sauce-covered ring.'],[0.2909180402755737],0.2909180402755737
71,14,425.572,tt0583647,423.731,"Chandler and Monica chat, both wearing shirts.",Phoebe holds up the sauce-covered ring.,['She holds up the sauce-covered ring.'],[0.32307608127593995],0.32307608127593995
72,14,425.572,tt0583647,423.731,"Ross and Phoebe converse, both wearing shirts.",Phoebe holds up the sauce-covered ring.,['She holds up the sauce-covered ring.'],[0.3230759620666504],0.3230759620666504
73,14,425.572,tt0583647,423.731,"Monica and Ross discuss, both wearing shirts.",Phoebe holds up the sauce-covered ring.,['She holds up the sauce-covered ring.'],[0.3230761528015137],0.3230761528015137
74,14,425.572,tt0583647,423.731,"Phoebe and Joey chat, Joey wearing a tie.",Phoebe holds up the sauce-covered ring.,['She holds up the sauce-covered ring.'],[0.3344467878341675],0.3344467878341675
75,15,543.309,tt0583647,541.487,Monica holds a knife and looks at Judy.,Mrs. Geller fluffs a throw pillow.,['She fluffs a throw pillow.'],[0.33034987449645997],0.33034987449645997
76,15,543.309,tt0583647,541.487,Judy claps her hands and holds a pillow.,Mrs. Geller fluffs a throw pillow.,['She fluffs a throw pillow.'],[0.5791235446929932],0.5791235446929932
77,15,543.309,tt0583647,541.487,Monica and Judy have a face-to-face conversation.,Mrs. Geller fluffs a throw pillow.,['She fluffs a throw pillow.'],[0.28171255588531496],0.28171255588531496
78,15,543.309,tt0583647,541.487,Monica and Judy engage in a calm interaction.,Mrs. Geller fluffs a throw pillow.,['She fluffs a throw pillow.'],[0.3333727836608887],0.3333727836608887
79,15,543.309,tt0583647,541.487,"Judy claps her hands, while Monica holds a knife.",Mrs. Geller fluffs a throw pillow.,['She fluffs a throw pillow.'],[0.3431616306304932],0.3431616306304932
80,16,553.852,tt0583647,551.91,"Judy holds a glass, walking towards Monica.",Monica rolls her eyes to Ross.,['He rolls his eyes to him.'],[0.3684858798980713],0.3684858798980713
81,16,553.852,tt0583647,551.91,Monica talks as Ross approaches her.,Monica rolls her eyes to Ross.,['He rolls his eyes to him.'],[0.3745543956756592],0.3745543956756592
82,16,553.852,tt0583647,551.91,"Ross walks towards Monica, glass nearby.",Monica rolls her eyes to Ross.,['He rolls his eyes to him.'],[0.340298056602478],0.340298056602478
83,16,553.852,tt0583647,551.91,"Judy talks, holding a glass, as Ross walks.",Monica rolls her eyes to Ross.,['He rolls his eyes to him.'],[0.38251025676727296],0.38251025676727296
84,16,553.852,tt0583647,551.91,"Ross walks towards Monica, Judy nearby with a glass.",Monica rolls her eyes to Ross.,['He rolls his eyes to him.'],[0.3392331123352051],0.3392331123352051
85,17,771.397,tt0583647,768.997,Ross sits next to Rachel on the couch.,"She hands him the broom, then plops on the couch.","['She hands him the broom.', 'She plops on the couch.']","[0.31600110530853276, 0.46314530372619633]",0.38957320451736455
86,17,771.397,tt0583647,768.997,Ross walks towards Rachel and sits down beside her.,"She hands him the broom, then plops on the couch.","['She hands him the broom.', 'She plops on the couch.']","[0.42825980186462403, 0.5035706043243409]",0.4659152030944824
87,17,771.397,tt0583647,768.997,"Ross joins Rachel on the couch, sitting next to her.","She hands him the broom, then plops on the couch.","['She hands him the broom.', 'She plops on the couch.']","[0.3805862903594971, 0.48026289939880373]",0.4304245948791504
88,17,771.397,tt0583647,768.997,Rachel sits on the couch as Ross sits down beside her.,"She hands him the broom, then plops on the couch.","['She hands him the broom.', 'She plops on the couch.']","[0.3636619567871094, 0.5046482086181641]",0.4341550827026367
89,17,771.397,tt0583647,768.997,Ross walks over and sits beside Rachel on the couch.,"She hands him the broom, then plops on the couch.","['She hands him the broom.', 'She plops on the couch.']","[0.3689302921295166, 0.5352231979370118]",0.4520767450332642
90,18,840.22,tt0583647,837.68,Ross places his hand on Rachel's shoulder.,"He stands behind the couch, gazing down at her.","['He stands behind the couch.', 'He gazes down at her.']","[0.35300555229187014, 0.3750468254089356]",0.36402618885040283
91,18,840.22,tt0583647,837.68,Rachel sits on the couch as Ross stands behind her.,"He stands behind the couch, gazing down at her.","['He stands behind the couch.', 'He gazes down at her.']","[0.6861483454704285, 0.4090120792388916]",0.54758021235466
92,18,840.22,tt0583647,837.68,"Ross stands behind Rachel, hand on her shoulder.","He stands behind the couch, gazing down at her.","['He stands behind the couch.', 'He gazes down at her.']","[0.6379224061965942, 0.4122962951660156]",0.5251093506813049
93,18,840.22,tt0583647,837.68,Ross reaches out to touch Rachel's shoulder.,"He stands behind the couch, gazing down at her.","['He stands behind the couch.', 'He gazes down at her.']","[0.3478228092193604, 0.3863772630691529]",0.3671000361442566
94,18,840.22,tt0583647,837.68,"Ross places his hand on Rachel's shoulder, standing behind her.","He stands behind the couch, gazing down at her.","['He stands behind the couch.', 'He gazes down at her.']","[0.7078723907470703, 0.42788586616516117]",0.5678791284561158
95,19,854.543,tt0583647,850.503,"Ross puts his hand on Rachel's shoulder, then walks away.","She leans her head back on the couch, then gently rests it against his hand.","['She leans her head back on the couch.', 'She gently rests her head against his hand.']","[0.37432532310485844, 0.4648678779602051]",0.4195966005325318
96,19,854.543,tt0583647,850.503,"Rachel looks up at Ross as he touches her shoulder, then he departs.","She leans her head back on the couch, then gently rests it against his hand.","['She leans her head back on the couch.', 'She gently rests her head against his hand.']","[0.41832046508789067, 0.5490134239196778]",0.4836669445037842
97,19,854.543,tt0583647,850.503,"Ross places his hand on Rachel's shoulder, and she glances up at him before he leaves.","She leans her head back on the couch, then gently rests it against his hand.","['She leans her head back on the couch.', 'She gently rests her head against his hand.']","[0.38823995590209964, 0.48502388000488283]",0.4366319179534912
98,19,854.543,tt0583647,850.503,"Ross gently touches Rachel's shoulder, and she looks up at him before he walks away.","She leans her head back on the couch, then gently rests it against his hand.","['She leans her head back on the couch.', 'She gently rests her head against his hand.']","[0.3940152168273926, 0.48062934875488283]",0.4373222827911377
99,19,854.543,tt0583647,850.503,"Rachel looks up at Ross as he puts his hand on her shoulder, then he walks off.","She leans her head back on the couch, then gently rests it against his hand.","['She leans her head back on the couch.', 'She gently rests her head against his hand.']","[0.4233250617980957, 0.5813526153564453]",0.5023388385772705
100,20,864.629,tt0583647,860.687,"Ross stands up, looking at Rachel, who sits on the couch.","He awkwardly pulls over a stool without moving his hand, then sits.","['He awkwardly pulls over a stool.', 'He does not move his hand.', 'He sits.']","[0.3851793289184571, 0.3442099571228028, 0.6333985924720764]",0.45426262617111207
101,20,864.629,tt0583647,860.687,"Ross adjusts his hand, gazing at Rachel on the couch.","He awkwardly pulls over a stool without moving his hand, then sits.","['He awkwardly pulls over a stool.', 'He does not move his hand.', 'He sits.']","[0.3641821384429932, 0.46755752563476566, 0.38737564086914067]",0.40637176831563315
102,20,864.629,tt0583647,860.687,"Ross stands, focusing on Rachel as she sits on the couch.","He awkwardly pulls over a stool without moving his hand, then sits.","['He awkwardly pulls over a stool.', 'He does not move his hand.', 'He sits.']","[0.3577673673629761, 0.34904956817626953, 0.6032660007476807]",0.4366943120956421
103,20,864.629,tt0583647,860.687,"Ross adjusts something, his eyes on Rachel, who sits on the couch.","He awkwardly pulls over a stool without moving his hand, then sits.","['He awkwardly pulls over a stool.', 'He does not move his hand.', 'He sits.']","[0.3851793766021729, 0.3870062828063965, 0.6333984136581421]",0.4685280243555705
104,20,864.629,tt0583647,860.687,"Ross stands up, his attention fixed on Rachel, who sits on the couch.","He awkwardly pulls over a stool without moving his hand, then sits.","['He awkwardly pulls over a stool.', 'He does not move his hand.', 'He sits.']","[0.3851793766021729, 0.3823731899261475, 0.6333985328674318]",0.46698369979858406
105,21,869.412,tt0583647,865.97,Ross walks into the room and points at Rachel.,"At a doctor's office, a plastic model shows a baby in a womb.","[""At a doctor's office, a plastic model shows a baby in a womb.""]",[0.2773554563522339],0.2773554563522339
106,21,869.412,tt0583647,865.97,Rachel looks at Ross as he enters the room.,"At a doctor's office, a plastic model shows a baby in a womb.","[""At a doctor's office, a plastic model shows a baby in a womb.""]",[0.3073856353759766],0.3073856353759766
107,21,869.412,tt0583647,865.97,Ross enters the room and gestures towards Rachel.,"At a doctor's office, a plastic model shows a baby in a womb.","[""At a doctor's office, a plastic model shows a baby in a womb.""]",[0.2738616704940796],0.2738616704940796
108,21,869.412,tt0583647,865.97,"Rachel is addressed by Ross, who points at her.","At a doctor's office, a plastic model shows a baby in a womb.","[""At a doctor's office, a plastic model shows a baby in a womb.""]",[0.30515944957733154],0.30515944957733154
109,21,869.412,tt0583647,865.97,"Ross walks in and points at Rachel, who looks at him.","At a doctor's office, a plastic model shows a baby in a womb.","[""At a doctor's office, a plastic model shows a baby in a womb.""]",[0.3023755788803101],0.3023755788803101
110,22,872.814,tt0583647,870.253,Rachel sits on a hospital bed as Ross enters the room.,Carol sits on the exam table as Ross hurries in.,"['He sits on the exam table.', 'He hurries in.']","[0.5769416093826294, 0.476445484161377]",0.5266935467720032
111,22,872.814,tt0583647,870.253,Ross speaks to Rachel on a hospital bed.,Carol sits on the exam table as Ross hurries in.,"['He sits on the exam table.', 'He hurries in.']","[0.389316463470459, 0.29080674648284915]",0.34006160497665405
112,22,872.814,tt0583647,870.253,Ross enters the hospital room where Rachel lies on a bed.,Carol sits on the exam table as Ross hurries in.,"['He sits on the exam table.', 'He hurries in.']","[0.40150318145751956, 0.3597784757614136]",0.3806408286094666
113,22,872.814,tt0583647,870.253,Rachel lies on a hospital bed as Ross approaches her.,Carol sits on the exam table as Ross hurries in.,"['He sits on the exam table.', 'He hurries in.']","[0.40810651779174806, 0.40569696426391605]",0.40690174102783205
114,22,872.814,tt0583647,870.253,Ross enters the room and stands beside Rachel on the bed.,Carol sits on the exam table as Ross hurries in.,"['He sits on the exam table.', 'He hurries in.']","[0.38556904792785646, 0.44674053192138674]",0.4161547899246216
115,23,882.24,tt0583647,881.36,Ross looks at Susan.,Susan steps in.,['She steps in.'],[0.29176125526428226],0.29176125526428226
116,23,882.24,tt0583647,881.36,Ross gazes at Susan.,Susan steps in.,['She steps in.'],[0.28227901458740234],0.28227901458740234
117,23,882.24,tt0583647,881.36,"Susan sits, Ross looks.",Susan steps in.,['She steps in.'],[0.37144649028778076],0.37144649028778076
118,23,882.24,tt0583647,881.36,Ross focuses on Susan.,Susan steps in.,['She steps in.'],[0.2962407112121582],0.2962407112121582
119,23,882.24,tt0583647,881.36,Ross eyes Susan intently.,Susan steps in.,['She steps in.'],[0.2949885368347168],0.2949885368347168
120,24,912.609,tt0583647,911.209,Ross talks to Susan and Carol.,Susan hands him a juice box.,['She hands him a juice box.'],[0.2646542549133301],0.2646542549133301
121,24,912.609,tt0583647,911.209,Susan listens to Ross and Carol.,Susan hands him a juice box.,['She hands him a juice box.'],[0.2620361566543579],0.2620361566543579
122,24,912.609,tt0583647,911.209,Ross stands with Susan and Carol.,Susan hands him a juice box.,['She hands him a juice box.'],[0.2779845952987671],0.2779845952987671
123,24,912.609,tt0583647,911.209,Carol sits in a chair.,Susan hands him a juice box.,['She hands him a juice box.'],[0.2928736448287964],0.2928736448287964
124,24,912.609,tt0583647,911.209,Ross is wearing a brown vest.,Susan hands him a juice box.,['She hands him a juice box.'],[0.30187969207763676],0.30187969207763676
125,25,915.31,tt0583647,914.289,Ross hands Susan a cup.,He passes it to Carol.,['He passes it to her.'],[0.45922498703002934],0.45922498703002934
126,25,915.31,tt0583647,914.289,Susan hands Carol a cup.,He passes it to Carol.,['He passes it to her.'],[0.45879602432250977],0.45879602432250977
127,25,915.31,tt0583647,914.289,Ross walks to Carol.,He passes it to Carol.,['He passes it to her.'],[0.36098475456237794],0.36098475456237794
128,25,915.31,tt0583647,914.289,Carol drinks from a cup.,He passes it to Carol.,['He passes it to her.'],[0.3298082828521729],0.3298082828521729
129,25,915.31,tt0583647,914.289,Susan and Ross approach Carol.,He passes it to Carol.,['He passes it to her.'],[0.32567286491394043],0.32567286491394043
130,26,919.174,tt0583647,917.333,"Susan sits, Ross approaches the patient.",She sips it as Susan takes a seat.,"['She sips it.', 'She takes a seat.']","[0.35524902343750003, 0.5411001682281494]",0.4481745958328247
131,26,919.174,tt0583647,917.333,"Ross walks to the patient, holding water.",She sips it as Susan takes a seat.,"['She sips it.', 'She takes a seat.']","[0.3450042247772217, 0.3187277317047119]",0.3318659782409668
132,26,919.174,tt0583647,917.333,"Susan stands, arms crossed, as Ross talks.",She sips it as Susan takes a seat.,"['She sips it.', 'She takes a seat.']","[0.31573212146759033, 0.3848037958145142]",0.35026795864105226
133,26,919.174,tt0583647,917.333,"Ross walks towards the patient, patient stands.",She sips it as Susan takes a seat.,"['She sips it.', 'She takes a seat.']","[0.27246344089508057, 0.32721040248870853]",0.2998369216918946
134,26,919.174,tt0583647,917.333,"Susan sits, Ross approaches patient with water.",She sips it as Susan takes a seat.,"['She sips it.', 'She takes a seat.']","[0.36957778930664065, 0.5411002159118653]",0.455339002609253
135,27,926.476,tt0583647,924.555,Ross examines Susan's vagina with a speculum.,He picks up a speculum and smiles.,"['He picks up a speculum.', 'He smiles.']","[0.5544301033020019, 0.27478015422821045]",0.4146051287651062
136,27,926.476,tt0583647,924.555,"Susan sits on the examination table, looking at the speculum.",He picks up a speculum and smiles.,"['He picks up a speculum.', 'He smiles.']","[0.6281046390533448, 0.2979289531707764]",0.4630167961120606
137,27,926.476,tt0583647,924.555,Ross takes the speculum and examines Susan's vagina.,He picks up a speculum and smiles.,"['He picks up a speculum.', 'He smiles.']","[0.6354153633117676, 0.31289172172546387]",0.47415354251861574
138,27,926.476,tt0583647,924.555,"Susan sits on the examination table, watched by Ross and Carol.",He picks up a speculum and smiles.,"['He picks up a speculum.', 'He smiles.']","[0.4201217651367188, 0.28321056365966796]",0.35166616439819337
139,27,926.476,tt0583647,924.555,Ross picks up a speculum and examines Susan's vagina.,He picks up a speculum and smiles.,"['He picks up a speculum.', 'He smiles.']","[0.8582984209060669, 0.31289191246032716]",0.585595166683197
140,28,928.237,tt0583647,926.976,Ross holds water and pills.,He holds it up like a puppet.,"['He holds it up.', 'It looks like a puppet.']","[0.3821808576583863, 0.2060922145843506]",0.2941365361213684
